域名	解析IP	开放端口	WEB服务器	网站状态
beta.263.net	211.150.65.149	80,443	nginx	80:正常访问
adsl.263.net	38.123.104.42	80,443	nginx	80:正常访问
comail.263.net	38.123.104.42	80,443	nginx	80:正常访问
abroad.263.net	38.83.102.12	80,443	nginx	80:正常访问
acs1.263.net	211.150.76.63	80	nginx/1.14.1	80:正常访问
cc.263.net	211.150.76.123	80,443	nginx/1.14.1	80:正常访问
96446.263.net	211.150.125.195	80	Apache	80:正常访问
95050gz.263.net	121.8.142.203	80	Resin/3.1.5	80:正常访问
95050.263.net	211.150.125.195	80	Apache	80:正常访问
anton.263.net	211.150.76.64	80	nginx/1.14.1	80:正常访问
acs.263.net	211.150.76.64	80	nginx/1.14.1	80:正常访问
boss.263.net	211.150.98.169	80	nginx	80:正常访问
deppon.263.net	211.150.76.64	80	nginx/1.14.1	80:正常访问
bbs.263.net	211.150.77.75	-	端口未开放	端口未开放
cms.263.net	211.150.76.85	80	Apache-Coyote/1.1	80:正常访问
em.263.net	38.123.104.42	80,443	nginx	80:正常访问
ecs.263.net	211.150.76.64	80	nginx/1.14.1	80:正常访问
gmail.263.net	211.150.65.26	80,443	nginx	80:正常访问
depponmeet.263.net	211.150.76.89	80,443	Apache-Coyote/1.1	80:正常访问
gz.263.net	121.8.142.203	80	Resin/3.1.5	80:正常访问
ec.263.net	211.150.65.26	80,443	nginx	80:正常访问
idc.263.net	38.123.104.42	80,443	nginx	80:正常访问
conference.263.net	211.150.68.137	80	Apache-Coyote/1.1	80:正常访问
isp.263.net	211.150.125.195	80	Apache	80:正常访问
ispgz.263.net	121.8.142.203	80	Resin/3.1.5	80:正常访问
crm.263.net	211.150.98.59	80	Apache-Coyote/1.1	80:正常访问
m.263.net	38.123.104.42	80,443	nginx	80:正常访问
kyms.263.net	211.150.76.64	80	nginx/1.14.1	80:正常访问
dns.263.net	211.150.98.105	80	nginx	80:正常访问
gmanager.263.net	211.150.98.101	80	nginx	80:(404) 未找到
g2wm.263.net	211.150.96.15,211.150.96.12,211.150.72.11	-	端口未开放	端口未开放
jifen.263.net	211.150.124.38	80	Resin/2.1.10	80:正常访问
hd.263.net	211.150.72.228,211.150.72.226	-	端口未开放	端口未开放
helpcenter.263.net	211.150.64.223	-	端口未开放	端口未开放
kf.263.net	211.150.98.98	80	Apache/2.2.23 (Unix) mod_jk/1.2.25	80:正常访问
m2e132.263.net	211.150.65.24	80,443	nginx	80:正常访问
m0e194.263.net	211.150.65.160	-	端口未开放	端口未开放
ma.rzrq.263.net	211.157.130.11	80,443	Apache	80:正常访问
mail.gf.263.net	211.157.130.11	80,443	Apache	80:正常访问
ma.263.net	211.150.74.29	80,443	Apache	80:正常访问
mail.263.net	211.150.64.54	80,443	nginx	80:正常访问
m0e195.263.net	211.150.65.161	-	端口未开放	端口未开放
macom.263.net	211.150.64.12	80,443	Apache	80:正常访问
mail.gz.263.net	211.150.64.54	80,443	nginx	80:正常访问
m2e15.263.net	211.150.65.183	-	端口未开放	端口未开放
mail.idckf.263.net	211.150.64.54	80,443	nginx	80:正常访问
mail.hysec.263.net	211.157.130.26,211.157.130.27	80,443	nginx	80:正常访问
mm.263.net	211.150.64.54	80,443	nginx	80:正常访问
m2e18.263.net	211.150.65.88	-	端口未开放	端口未开放
ppc.263.net	38.123.104.42	80,443	nginx	80:正常访问
mbill.263.net	211.150.98.70	80,443	Apache/2.2.23 (Unix) mod_ssl/2.2.23 OpenSSL/0.9.8g mod_jk/1.2.21	80:正常访问
qiye.263.net	211.150.64.54	80,443	nginx	80:正常访问
edu.263.net	211.150.76.123	80,443	nginx/1.14.1	80:正常访问
pcc.263.net	211.150.65.85	80,443	Apache	80:(403) 已禁止
meeting.263.net	211.150.77.11	80	Apache-Coyote/1.1	80:正常访问
sales.263.net	211.150.98.59	80	Apache-Coyote/1.1	80:正常访问
sd95050.263.net	211.150.125.195	80	Apache	80:正常访问
rzrq.263.net	211.157.130.27,211.157.130.26	80,443	nginx	80:正常访问
mailaction.263.net	211.150.72.36	-	端口未开放	端口未开放
mall.263.net	103.25.36.228	-	端口未开放	端口未开放
tap.263.net	38.123.104.42	80,443	nginx	80:正常访问
rzrq.gf.263.net	211.157.130.27,211.157.130.26	80,443	nginx	80:正常访问
test.263.net	38.123.104.42	80,443	nginx	80:正常访问
pmail.263.net	210.78.128.20	80	Apache-Coyote/1.1	80:正常访问
webmail.263.net	38.123.104.42	80,443	nginx	80:正常访问
sz.263.net	164.52.33.170	80,443	nginx	80:(403) 已禁止
tyo-mx01.263.net	54.65.42.176	80,443	nginx	80:正常访问
webmeet.263.net	211.150.76.89	80,443	Apache-Coyote/1.1	80:正常访问
training.263.net	211.150.89.24	80,443	nginx	80:正常访问
sms.263.net	210.78.128.20	80	Apache-Coyote/1.1	80:正常访问
wm.rzrq.263.net	211.157.130.26,211.157.130.27	80,443	nginx	80:正常访问
webcast.263.net	164.52.33.170	80,443	nginx	80:(403) 已禁止
ss.263.net	211.150.77.141	80	Apache-Coyote/1.1	80:(404) 未找到
szse.263.net	211.150.76.81	80	Apache/2.4.10 (Unix)	80:正常访问
weixin.263.net	211.150.65.188	80,443	nginx	80:正常访问
wm1e11.263.net	211.150.65.168	-	端口未开放	端口未开放
wm2e134.263.net	211.150.64.134	-	端口未开放	端口未开放
wm2e131.263.net	211.150.65.178	-	端口未开放	端口未开放
wm2e18.263.net	211.150.65.88	-	端口未开放	端口未开放
wmthree2gmail.263.net	211.150.64.54	80,443	nginx	80:正常访问
wm2e216.263.net	211.150.64.216	-	端口未开放	端口未开放
wmthree2mm.263.net	211.150.64.54	80,443	nginx	80:正常访问
xa.263.net	211.150.65.26	80,443	nginx	80:正常访问
xmail.263.net	38.123.104.42	80,443	nginx	80:正常访问
yun.263.net	38.123.104.42	80,443	nginx	80:正常访问
wmnew.263.net	211.150.72.199	-	端口未开放	端口未开放
xukeyou.263.net	106.75.45.198,106.75.45.200	80	Apache/2.2.15 (CentOS)	80:正常访问
i.263.net	211.150.77.102	80,443	nginx/1.14.1	80:正常访问
vv.263.net	38.123.104.44	80,443	Apache	80:正常访问
mail1.263.net	38.123.104.42	80,443	nginx	80:正常访问
email.263.net	211.150.65.170,211.150.65.169	80,443	nginx	80:正常访问
api.263.net	211.100.76.10	-	端口未开放	端口未开放
demo.263.net	47.105.46.85	443	ecstatic-1.4.1	443:正常访问
call.263.net	211.150.124.132	-	端口未开放	端口未开放
union.263.net	211.150.124.147	-	端口未开放	端口未开放
vip.263.net	211.150.65.26	80,443	nginx	80:正常访问
passport.263.net	211.150.121.18	-	端口未开放	端口未开放
service.263.net	211.150.76.85	80	Apache-Coyote/1.1	80:正常访问
video.263.net	211.150.77.120	443	获取失败	443:-
sec.263.net	211.150.76.123	80,443	nginx/1.14.1	80:正常访问
pay.263.net	211.150.76.89	80,443	Apache-Coyote/1.1	80:(404) 未找到
wiki.263.net	211.150.64.24	80	nginx/1.2.7	80:正常访问
ac.263.net	211.150.76.64	80	nginx/1.14.1	80:正常访问
antivirus.263.net	192.168.191.75,192.168.191.74	-	端口未开放	端口未开放
auth.263.net	211.150.64.81	-	端口未开放	端口未开放
calendar.263.net	211.150.65.35	80,443	nginx	80:(403) 已禁止
code.263.net	192.168.82.199	-	端口未开放	端口未开放
imap.263.net	38.123.104.42	80,443	nginx	80:正常访问
gate.263.net	211.150.64.214	-	端口未开放	端口未开放
gw.263.net	211.150.74.103	-	端口未开放	端口未开放
info.263.net	211.150.124.67	-	端口未开放	端口未开放
im.263.net	211.150.121.75,211.150.121.66	-	端口未开放	端口未开放
live.263.net	211.150.65.26	80,443	nginx	80:正常访问
lc.263.net	211.150.76.83	80	Apache-Coyote/1.1	80:正常访问
mc.263.net	211.150.76.65	80	Apache-Coyote/1.1	80:(400) 错误的请求
maillist.263.net	192.168.165.27,192.168.165.201,192.168.165.202	-	端口未开放	端口未开放
members.263.net	211.150.115.111	-	端口未开放	端口未开放
member.263.net	211.150.121.18	-	端口未开放	端口未开放
ms.263.net	211.150.76.65	80	Apache-Coyote/1.1	80:(400) 错误的请求
