域名	解析IP	开放端口	WEB服务器	网站状态
dl.image.so.com	42.236.9.123	80,443	openresty	80:正常访问
image.so.com	112.64.200.171	80,443	openresty/1.11.2.1	80:正常访问
info.so.com	42.236.9.44	80,443	openresty	80:正常访问
i.so.com	112.64.200.143	80,443	openresty	80:(404) 未找到
images.so.com	1.192.137.217	80,443	openresty/1.11.2.1	80:正常访问
ditu.so.com	27.115.124.211	80,443	openresty	80:正常访问
app.so.com	36.110.236.40	80,443	nginx/1.9.15	80:正常访问
index.so.com	42.236.9.13	80,443	openresty	80:正常访问
jifen.so.com	36.110.213.152	80,443	openresty/1.9.15.1	80:正常访问
m.app.so.com	36.110.236.40	80,443	nginx/1.9.15	80:正常访问
m.music.so.com	123.125.82.250	80,443	nginx	80:正常访问
m.map.so.com	27.115.124.211	80,443	openresty	80:正常访问
m.image.so.com	171.8.167.48	80,443	openresty	80:正常访问
m.news.so.com	171.8.167.33	80,443	openresty	80:正常访问
map.so.com	27.115.124.211	80,443	openresty	80:正常访问
m.so.com	42.236.98.98	80,443	openresty/1.13.6.1	80:正常访问
j.news.so.com	27.115.124.137	80	openresty	80:正常访问
m.wenda.so.com	36.110.213.152	80,443	openresty/1.9.15.1	80:正常访问
j.www.so.com	27.115.124.137	80	openresty	80:正常访问
music.so.com	123.125.82.250	80,443	nginx	80:正常访问
mp3.so.com	123.125.82.250	80,443	nginx	80:正常访问
onebox.so.com	123.125.82.250	80,443	nginx	80:正常访问
liangyi.so.com	180.163.251.131	80	openresty	80:正常访问
open.map.so.com	42.236.9.124	80,443	openresty	80:正常访问
ly.so.com	42.236.98.113	80	openresty	80:正常访问
news.so.com	171.8.167.47	80,443	openresty	80:正常访问
pic.so.com	112.64.200.171	80,443	openresty/1.11.2.1	80:正常访问
new.so.com	171.8.167.47	80,443	openresty	80:正常访问
pics.so.com	42.236.9.90	80,443	openresty/1.11.2.1	80:正常访问
rd.news.so.com	14.17.80.101,125.89.198.81	80,443	nginx	80:(403) 已禁止
s.music.so.com	123.125.82.250	80,443	nginx	80:正常访问
st.so.com	180.163.237.210	80,443	openresty/1.11.2.1	80:正常访问
q.baike.so.com	101.199.116.24	80,443	nginx/1.9.15	80:正常访问
baike.so.com	106.39.219.13	80,443	nginx/1.9.15	80:正常访问
m.baike.so.com	106.39.219.13	80,443	nginx/1.9.15	80:正常访问
t.so.com	42.236.9.99	80,443	openresty	80:正常访问
top.so.com	42.236.9.10	80,443	openresty	80:正常访问
tu.so.com	42.236.9.90	80,443	openresty/1.11.2.1	80:正常访问
pfif.so.com	42.236.9.110	80,443	openresty	80:正常访问
m.video.so.com	36.110.234.231	80	openresty/1.11.2.1	80:正常访问
v.so.com	36.110.240.66	80,443	nginx/1.9.15	80:正常访问
video.so.com	36.110.240.66	80,443	nginx/1.9.15	80:正常访问
w.so.com	27.115.124.192	80,443	openresty	80:正常访问
wd.so.com	36.110.213.152	80,443	openresty/1.9.15.1	80:正常访问
wenda.so.com	36.110.213.152	80,443	openresty/1.9.15.1	80:正常访问
ruanjian.so.com	36.110.236.227,180.163.237.246	80	nginx/1.9.15	80:正常访问
shouji.so.com	112.64.200.104	80	nginx/1.14.0	80:正常访问
soft.so.com	36.110.236.227,180.163.237.246	80	nginx/1.9.15	80:正常访问
zhanzhang.so.com	171.8.167.20	80,443	nginx/1.6.3	80:正常访问
zhidasug.www.so.com	42.236.98.113	80	openresty	80:正常访问
waiter.www.so.com	180.163.251.128	80	openresty	80:正常访问
xinzhi.wenda.so.com	36.110.236.195	80	nginx/1.9.15	80:正常访问
e.so.com	27.115.124.241	80,443	openresty	80:(403) 已禁止
xueshu.so.com	42.236.98.111	80	openresty	80:正常访问
update.ebook.shouji.so.com	182.118.31.152	-	端口未开放	端口未开放
s.so.com	112.64.200.135	80,443	openresty	80:(404) 未找到
mobile.so.com	112.64.200.104	80	nginx/1.14.0	80:正常访问
login.so.com	36.110.236.252	80,443	nginx/1.9.15	80:正常访问
en.so.com	42.236.9.20	80,443	openresty/1.11.2.1	80:正常访问
lab.so.com	42.236.102.126	80,443	openresty/1.11.2.1	80:正常访问
maps.so.com	180.163.251.116	80,443	openresty	80:正常访问
sj.so.com	112.64.200.104	80	nginx/1.14.0	80:正常访问
fanyi.so.com	180.163.251.243	80,443	openresty	80:正常访问
english.so.com	27.115.124.244	80,443	openresty/1.11.2.1	80:正常访问
life.so.com	106.39.219.8	-	端口未开放	端口未开放
trends.so.com	42.236.9.10	80,443	openresty	80:正常访问
m.v.so.com	36.110.234.231	80	nginx/1.9.15	80:正常访问
scholar.so.com	42.236.98.111	80	openresty	80:正常访问
shipin.so.com	36.110.240.66	80,443	nginx/1.9.15	80:正常访问
shiping.so.com	36.110.240.66	80,443	nginx/1.9.15	80:正常访问
shenghuo.so.com	106.39.219.8	-	端口未开放	端口未开放
tianqi.so.com	42.236.9.110	80,443	openresty	80:正常访问
vedio.so.com	36.110.240.66	80,443	nginx/1.9.15	80:正常访问
yiliao.so.com	42.236.98.113	80	openresty	80:正常访问
yinyue.so.com	123.125.82.250	80,443	nginx	80:正常访问
yingwen.so.com	27.115.124.244	80,443	openresty/1.11.2.1	80:正常访问
zhishu.so.com	42.236.9.13	80,443	openresty	80:正常访问
