域名	解析IP	开放端口	WEB服务器	网站状态
aba.anjuke.com	115.159.231.212	80,443	nginx	80:正常访问
2fcd.fang.anjuke.com	115.159.231.143	80,443	nginx	80:正常访问
aks.zu.anjuke.com	115.159.231.212	80,443	nginx	80:(404) 未找到
5a0sh.fang.anjuke.com	115.159.231.143	80,443	nginx	80:正常访问
alsm.zu.anjuke.com	115.159.231.212	80,443	nginx	80:(404) 未找到
agent.anjuke.com	115.159.231.148	80,443	nginx	80:(404) 未找到
ank.zu.anjuke.com	115.159.231.212	80,443	nginx	80:(404) 未找到
1111wuxi.bbs.anjuke.com	115.159.231.145	80,443	nginx	80:(404) 未找到
1111beijing.bbs.anjuke.com	115.159.231.221	80,443	nginx	80:(404) 未找到
anqing.zu.anjuke.com	115.159.231.212	80,443	nginx	80:(404) 未找到
api.anjuke.com	115.159.231.221	80,443	nginx	80:(403) 已禁止
ans.fang.anjuke.com	115.159.231.143	80,443	nginx	80:正常访问
anshan.anjuke.com	115.159.231.212	80,443	nginx	80:(404) 未找到
anyang.zu.anjuke.com	115.159.231.212	80,443	nginx	80:(404) 未找到
aq.zu.anjuke.com	115.159.231.212	80,443	nginx	80:(404) 未找到
ans.zu.anjuke.com	115.159.231.212	80,443	nginx	80:(404) 未找到
aq.fang.anjuke.com	115.159.231.200	80,443	nginx	80:正常访问
aw.beijing.anjuke.com	115.159.231.212	80,443	nginx	80:(404) 未找到
aw.chengdu.anjuke.com	115.159.231.212	80,443	nginx	80:(404) 未找到
ay.anjuke.com	115.159.231.212	80,443	nginx	80:(404) 未找到
aw.shanghai.anjuke.com	115.159.231.212	80,443	nginx	80:(404) 未找到
as.fang.anjuke.com	115.159.231.200	80,443	nginx	80:正常访问
b5ijing.bbs.anjuke.com	115.159.231.145	80,443	nginx	80:(404) 未找到
ay.fang.anjuke.com	115.159.231.143	80,443	nginx	80:正常访问
ba.zu.anjuke.com	115.159.231.212	80,443	nginx	80:(404) 未找到
baiyin.anjuke.com	115.159.231.212	80,443	nginx	80:(404) 未找到
ay.stage58.fang.anjuke.com	115.159.231.200	80,443	nginx	80:正常访问
baishan.anjuke.com	115.159.231.212	80,443	nginx	80:(404) 未找到
ba.fang.anjuke.com	115.159.231.143	80,443	nginx	80:正常访问
baoding.anjuke.com	115.159.231.212	80,443	nginx	80:(404) 未找到
baotou.anjuke.com	115.159.231.212	80,443	nginx	80:(404) 未找到
bao.fang.anjuke.com	115.159.231.200	80,443	nginx	80:正常访问
bb.fang.anjuke.com	115.159.231.200	80,443	nginx	80:正常访问
bbs.anjuke.com	115.159.231.145	80,443	nginx	80:(404) 未找到
aus.haiwai.anjuke.com	115.159.231.200	80,443	nginx	80:正常访问
baoding.stage58.fang.anjuke.com	115.159.231.200	80,443	nginx	80:正常访问
bd.fang.anjuke.com	115.159.231.200	80,443	nginx	80:正常访问
beijing.forum.anjuke.com	115.159.231.212	80,443	nginx	80:(404) 未找到
bei1ing.bbs.anjuke.com	115.159.231.145	80,443	nginx	80:(404) 未找到
beijihg.bbs.anjuke.com	115.159.231.221	80,443	nginx	80:(404) 未找到
beijing.bbs.anjuke.com	115.159.231.145	80,443	nginx	80:(404) 未找到
beijing.sp.anjuke.com	115.159.231.212	80,443	nginx	80:(404) 未找到
beijing.fang.anjuke.com	115.159.231.200	80,443	nginx	80:正常访问
bh.anjuke.com	115.159.231.212	80,443	nginx	80:(404) 未找到
benxi.anjuke.com	115.159.231.212	80,443	nginx	80:(404) 未找到
bh.fang.anjuke.com	115.159.231.143	80,443	nginx	80:正常访问
bijie.anjuke.com	115.159.231.212	80,443	nginx	80:(404) 未找到
binzhou.zu.anjuke.com	115.159.231.212	80,443	nginx	80:(404) 未找到
bij.fang.anjuke.com	115.159.231.200	80,443	nginx	80:正常访问
bj.anjuke.com	115.159.231.212	80,443	nginx	80:(404) 未找到
bj.zu.anjuke.com	115.159.231.212	80,443	nginx	80:(404) 未找到
boertala.anjuke.com	115.159.231.212	80,443	nginx	80:(404) 未找到
