域名	解析IP	开放端口	WEB服务器	网站状态
161.campus.chinahr.com	115.159.231.213	80,443	Tengine	80:(404) 未找到
360campus.chinahr.com	115.159.231.213	80,443	Tengine	80:(502) 错误的网关
611.campus.chinahr.com	115.159.231.213	80,443	Tengine	80:(404) 未找到
ad.chinahr.com	115.159.231.213	80,443	Tengine	80:(404) 未找到
atc.chinahr.com	115.159.231.213	80,443	Tengine	80:(404) 未找到
alipay.campus.chinahr.com	115.159.231.213	80,443	Tengine	80:(404) 未找到
bluestartbbs.campus.chinahr.com	115.159.231.213	80,443	Tengine	80:(404) 未找到
cama.campus.chinahr.com	115.159.231.213	80,443	Tengine	80:(404) 未找到
campus.chinahr.com	115.159.231.213	80,443	Tengine	80:正常访问
bjrcb.chinahr.com	115.159.231.213	80,443	Tengine	80:正常访问
cnnc.chinahr.com	115.159.231.213	80,443	Tengine	80:正常访问
content.chinahr.com	115.159.231.213	80,443	Tengine	80:(404) 未找到
campusys.chinahr.com	115.159.231.213	80,443	Tengine	80:(502) 错误的网关
campusys2010.chinahr.com	115.159.231.213	80,443	Tengine	80:(502) 错误的网关
331.chinahr.com	115.159.231.213	80,443	Tengine	80:正常访问
132.campus.chinahr.com	115.159.231.213	80,443	Microsoft-IIS/7.5	80:正常访问
enterprise.chinahr.com	115.159.231.213	80,443	Tengine	80:(502) 错误的网关
image.chinahr.com	121.10.121.123,125.89.198.81,183.61.26.225,121.11.81.164	80,443	Tengine	80:正常访问
imgs.chinahr.com	121.10.121.123,121.11.81.164,125.89.198.81,183.61.26.225	80,443	Tengine	80:正常访问
bo.chinahr.com	115.159.231.213	80,443	Tengine	80:(403) 已禁止
op.chinahr.com	115.159.231.213	80,443	Tengine	80:正常访问
user.chinahr.com	115.159.231.213	80,443	Tengine	80:正常访问
m.chinahr.com	115.159.231.213	80,443	Tengine	80:正常访问
www.chinahr.com	115.159.231.213	80,443	Tengine	80:正常访问
jinzhoubank.chinahr.com	115.159.231.213	80,443	Tengine	80:正常访问
app.chinahr.com	115.159.231.213	80,443	Tengine	80:正常访问
api.chinahr.com	10.126.72.13	-	端口未开放	端口未开放
static.chinahr.com	125.89.198.81,219.137.170.229,183.61.26.225,121.11.81.164	80,443	Tengine	80:(403) 已禁止
open.chinahr.com	115.159.231.213	80,443	Tengine	80:正常访问
my.chinahr.com	115.159.231.213	80,443	Tengine	80:正常访问
passport.chinahr.com	115.159.231.213	80,443	Tengine	80:正常访问
download.chinahr.com	125.89.198.81,121.11.81.164,183.61.26.225,121.10.121.123	80,443	Tengine	80:正常访问
adm.chinahr.com	115.159.231.213	80,443	Tengine	80:(404) 未找到
discuss.chinahr.com	115.159.231.213	80,443	Tengine	80:正常访问
research.chinahr.com	115.159.231.213	80,443	Tengine	80:正常访问
st.chinahr.com	183.61.26.225,121.11.81.164,125.89.198.81,121.10.121.123	80,443	获取失败	80:-
webmail.chinahr.com	36.110.51.107	-	端口未开放	端口未开放
suggest.chinahr.com	115.159.231.213	80,443	Tengine	80:(502) 错误的网关
event.chinahr.com	115.159.231.213	80,443	Tengine	80:(502) 错误的网关
track.chinahr.com	115.159.231.213	80,443	Tengine	80:(502) 错误的网关
credit.chinahr.com	115.159.231.213	80,443	Tengine	80:正常访问
sorry.chinahr.com	117.121.30.39	-	端口未开放	端口未开放
talent.chinahr.com	115.159.231.213	80,443	Tengine	80:正常访问
adsys.chinahr.com	115.159.231.213	80,443	Tengine	80:(403) 已禁止
