域名	解析IP	开放端口	WEB服务器	网站状态
api.jxedt.com	154.8.240.21	80,443	Tengine	80:正常访问
www.jxedt.com	154.8.240.21	80,443	Tengine	80:正常访问
op.jxedt.com	154.8.240.21	80,443	Tengine	80:正常访问
manage.jxedt.com	115.159.231.172	80,443	Tengine	80:正常访问
k.jxedt.com	115.236.185.45	-	端口未开放	端口未开放
pay.jxedt.com	154.8.240.21	80,443	Tengine	80:正常访问
img.jxedt.com	115.236.185.42	-	端口未开放	端口未开放
mp3.jxedt.com	115.236.185.61	-	端口未开放	端口未开放
oa.jxedt.com	218.93.127.135	-	端口未开放	端口未开放
partner.jxedt.com	154.8.240.21	80,443	Tengine	80:正常访问
cloud.jxedt.com	154.8.240.21	80,443	Tengine	80:正常访问
coach.jxedt.com	115.159.231.65	80,443	Tengine	80:(508)
404.jxedt.com	154.8.240.21	80,443	Tengine	80:正常访问
lego.jxedt.com	154.8.240.21	80,443	Tengine	80:正常访问
wz1.jxedt.com	115.236.185.46	-	端口未开放	端口未开放
seo.jxedt.com	115.236.16.46	-	端口未开放	端口未开放
wen.jxedt.com	154.8.240.11	80,443	Tengine	80:正常访问
