域名	解析IP	开放端口	WEB服务器	网站状态
www.oppo.cn	223.202.200.120	-	端口未开放	端口未开放
activity.oppo.cn	223.202.200.120	-	端口未开放	端口未开放
paike.oppo.cn	223.202.200.120	-	端口未开放	端口未开放
bbs.oppo.cn	223.202.194.44	80,443	nginx	80:正常访问
open.oppo.cn	223.202.200.120	-	端口未开放	端口未开放
server.oppo.cn	223.202.194.44	80,443	nginx	80:(403) 已禁止
fs.oppo.cn	222.186.145.188,58.221.28.167	80,443	获取失败	80:-
i.wx.oppo.cn	223.202.200.100	-	端口未开放	端口未开放
wximg.oppo.cn	221.229.202.154,222.186.145.187	80,443	AliyunOSS	80:(403) 已禁止
emm.oppo.cn	183.237.210.52	-	端口未开放	端口未开放
