域名	解析IP	开放端口	WEB服务器	网站状态
career.oppo.com	116.204.7.165,58.67.157.5	80,443	nginx/1.14.1	80:正常访问
hd.oppo.com	14.215.102.172,14.215.102.173	80,443	nginx	80:正常访问
oim.oppo.com	47.95.46.87	80,443		80:正常访问
findphone.oppo.com	46.137.218.182,46.137.216.82	80	Apache	80:正常访问
service.oppo.com	121.10.21.114	-	端口未开放	端口未开放
service1.oppo.com	121.10.21.114	-	端口未开放	端口未开放
market.oppo.com	121.12.164.120	-	端口未开放	端口未开放
uc.oppo.com	52.220.87.42,52.221.59.195	80,443	Apache-Coyote/1.1	80:正常访问
mx.oppo.com	192.169.198.158	80,443	获取失败	80:-
static.oppo.com	125.89.198.81,59.34.229.75	80,443	nginx	80:(403) 已禁止
m.find.yun.oppo.com	223.202.200.154	-	端口未开放	端口未开放
find.yun.oppo.com	223.202.200.156	-	端口未开放	端口未开放
eg.oppo.com	54.72.242.107	-	端口未开放	端口未开放
m.oppo.com	223.202.200.66	-	端口未开放	端口未开放
note.yun.oppo.com	223.202.200.149	-	端口未开放	端口未开放
t.aquila.oppo.com	223.202.200.66	-	端口未开放	端口未开放
shop.oppo.com	121.9.213.103	-	端口未开放	端口未开放
yun.oppo.com	223.202.200.148	-	端口未开放	端口未开放
sync.yun.oppo.com	223.202.200.149	-	端口未开放	端口未开放
www.oppo.com	223.202.200.66	-	端口未开放	端口未开放
id.oppo.com	223.202.216.130	-	端口未开放	端口未开放
service3.oppo.com	58.67.157.17,116.204.7.177	80,443	获取失败	80:-
push.oppo.com	223.202.194.147	80,443	nginx	80:正常访问
cms.oppo.com	121.10.21.120	-	端口未开放	端口未开放
mail1.oppo.com	121.10.21.123	-	端口未开放	端口未开放
security.oppo.com	119.96.247.39	80,443	jfe	80:正常访问
news.oppo.com	123.183.164.143,14.18.201.48	80,443	获取失败	80:-
service2.oppo.com	121.10.21.117	-	端口未开放	端口未开放
events.oppo.com	23.56.108.11,23.56.108.83	80,443	获取失败	80:-
fs.oppo.com	125.89.198.81,59.34.229.75	80,443	nginx	80:(403) 已禁止
meeting.oppo.com	121.10.21.123	-	端口未开放	端口未开放
design.oppo.com	121.12.164.119	-	端口未开放	端口未开放
dm.oppo.com	121.12.164.114	-	端口未开放	端口未开放
ftp.oppo.com	121.12.147.245	443	nginx	443:正常访问
my.oppo.com	14.215.102.172,14.215.102.173	80,443	nginx	80:正常访问
imap.oppo.com	123.58.177.223	-	端口未开放	端口未开放
dz.oppo.com	54.72.242.107	-	端口未开放	端口未开放
global.oppo.com	184.25.56.42	80,443	nginx	80:正常访问
en.oppo.com	23.56.108.83,23.56.108.11	80,443	nginx	80:正常访问
find.oppo.com	223.202.200.148	-	端口未开放	端口未开放
partners.oppo.com	121.10.21.118	-	端口未开放	端口未开放
smtp.oppo.com	123.58.177.124,123.58.177.123	-	端口未开放	端口未开放
owa.oppo.com	52.77.188.252	-	端口未开放	端口未开放
pop.oppo.com	52.74.19.11	443	nginx/1.6.2	443:正常访问
si.oppo.com	54.223.186.224	-	端口未开放	端口未开放
cloud.oppo.com	223.202.200.148	-	端口未开放	端口未开放
event.oppo.com	116.31.94.43	-	端口未开放	端口未开放
sslvpn.oppo.com	121.12.164.118	443	Apache	443:正常访问
recruit.oppo.com	120.24.209.106	-	端口未开放	端口未开放
mx01.oppo.com	52.74.0.198	443	Server	443:正常访问
qy.oppo.com	223.202.194.45	80,443	获取失败	80:-
wx.oppo.com	223.202.200.100	-	端口未开放	端口未开放
drm.oppo.com	54.251.124.236	80	nginx	80:正常访问
srm.oppo.com	58.67.157.5,116.204.7.165	80,443	nginx/1.14.1	80:正常访问
sip.oppo.com	121.10.21.120	-	端口未开放	端口未开放
tv4.oppo.com	58.67.157.19,116.204.7.179	80,443	nginx	80:正常访问
dma1.oppo.com	121.10.21.120	-	端口未开放	端口未开放
dorm.oppo.com	58.252.11.156	-	端口未开放	端口未开放
dsfs.oppo.com	125.89.198.81,59.34.229.75	80,443	获取失败	80:-
eftp.oppo.com	52.74.130.182	80,443	获取失败	80:-
mea1.oppo.com	121.10.21.120	-	端口未开放	端口未开放
msec.oppo.com	223.202.200.155	-	端口未开放	端口未开放
wsp1.oppo.com	121.10.21.120	-	端口未开放	端口未开放
