域名	解析IP	开放端口	WEB服务器	网站状态
act1.lianwifi.com	120.132.85.63,120.132.54.108,120.132.54.107	80,443	nginx	80:正常访问
www.lianwifi.com	221.230.143.58,221.230.143.101	80,443	openresty	80:正常访问
test.lianwifi.com	123.59.43.9	80,443	openresty	80:正常访问
i.lianwifi.com	221.230.143.58,221.230.143.101	80,443	nginx	80:正常访问
s.lianwifi.com	172.81.213.216	80,443	openresty	80:正常访问
demo.lianwifi.com	180.150.178.18	80,443	nginx	80:(403) 已禁止
buy.lianwifi.com	123.59.61.77	-	端口未开放	端口未开放
open.lianwifi.com	123.59.62.242,123.59.62.244	80,443	nginx	80:正常访问
apt.lianwifi.com	123.59.43.9	80,443	nginx	80:(403) 已禁止
dl.lianwifi.com	58.220.72.250	80,443	nginx	80:(403) 已禁止
kf.lianwifi.com	123.59.62.244,123.59.62.242	80,443	nginx	80:正常访问
wiki.lianwifi.com	10.241.14.116	-	端口未开放	端口未开放
md5.lianwifi.com	123.59.43.9	80,443	nginx	80:(403) 已禁止
openvpn.bjbgp.lianwifi.com	188.5.4.96	-	端口未开放	端口未开放
shop1.lianwifi.com	118.89.206.107	80,443	openresty	80:正常访问
shopadmin.lianwifi.com	172.81.213.233	-	端口未开放	端口未开放
i02.lianwifi.com	120.132.53.64	80,443	nginx	80:正常访问
apt2.lianwifi.com	123.59.43.9	80,443	nginx	80:(403) 已禁止
dl01.lianwifi.com	58.222.46.220	80,443	nginx	80:(403) 已禁止
gmtj.lianwifi.com	123.59.40.69	80	nginx	80:正常访问
