域名	解析IP	开放端口	WEB服务器	网站状态
a.wifi.com	183.146.20.115,183.146.20.114,183.146.20.113	80,443	nginx	80:正常访问
cn.wifi.com	58.222.16.39,58.222.51.132,58.222.51.145,58.222.16.42,122.224.48.79,58.222.51.135,122.224.48.78,122.224.48.72,58.222.51.138,58.222.16.31	80,443	openresty	80:正常访问
bbs.wifi.com	117.50.6.169	80,443	openresty	80:正常访问
en.wifi.com	13.33.172.234,13.33.172.230,13.33.172.196,13.33.172.167	80,443	获取失败	80:-
e.wifi.com	114.118.22.101	80,443	openresty/1.13.6.1	80:正常访问
b.wifi.com	10.2.28.253	-	端口未开放	端口未开放
f.wifi.com	118.25.118.116	80,443	nginx/1.4.6 (Ubuntu)	80:正常访问
www.wifi.com	117.50.6.169	80,443	nginx	80:正常访问
read.wifi.com	106.75.34.36	80,443	openresty	80:正常访问
shop.wifi.com	172.81.204.197	80,443	nginx/1.10.2	80:正常访问
gl.wifi.com	107.155.55.128	80,443	nginx	80:正常访问
rank.wifi.com	175.102.131.30	80,443	nginx	80:(403) 已禁止
fang.wifi.com	58.222.16.31,58.222.51.132,58.222.16.42,122.224.48.79,58.222.16.34,122.224.48.78,122.224.48.72,58.222.51.145,58.222.51.139,58.222.51.135	80,443	openresty	80:正常访问
zp.wifi.com	58.220.40.16,58.216.21.143,180.97.251.53	80,443	openresty/1.13.6.1	80:正常访问
cad.wifi.com	58.215.107.139	80,443	nginx	80:正常访问
