域名	解析IP	开放端口	WEB服务器	网站状态
www.zto.com	163.171.128.161,157.185.163.204	80,443		80:正常访问
zop.zto.com	122.225.117.245,122.225.117.220	80,443	nginx/1.10.1	80:正常访问
hr.zto.com	122.225.117.220,122.225.117.245	80,443	nginx/1.10.1	80:正常访问
wap.zto.com	157.185.177.129	80		80:正常访问
m.zto.com	163.171.128.161,157.185.163.204	80,443		80:正常访问
g.zto.com	60.191.136.10	-	端口未开放	端口未开放
ir.zto.com	122.225.117.215	80	WAF/2.4-12.1	80:正常访问
j.zto.com	122.225.117.215	80	nginx	80:正常访问
q.zto.com	122.225.105.69	80,443	-	80:(404) 未找到
w3.zto.com	157.185.163.204,163.171.128.161	80,443		80:正常访问
app.zto.com	163.171.128.161,157.185.163.204	80,443	nginx	80:(403) 已禁止
logs.zto.com	122.225.117.215	80	nginx	80:(404) 未找到
en.zto.com	122.225.105.69	80,443		80:正常访问
us.zto.com	122.225.117.215	80	nginx	80:正常访问
flash.zto.com	58.40.16.120	80,443	*********	80:(404) 未找到
test.zto.com	115.159.159.215,203.195.147.223	80	DNSPod URL V2.0	80:(404) 未找到
sec.zto.com	157.185.163.204,163.171.128.161	80,443	nginx/1.10.1	80:正常访问
share.zto.com	122.225.117.215	80	nginx	80:正常访问
oa.zto.com	122.225.117.236,122.225.117.237	80,443	nginx/1.12.2	80:正常访问
auth.zto.com	163.171.128.161,157.185.163.204	80,443		80:正常访问
connect.zto.com	163.171.128.161,157.185.163.204	80,443	nginx/1.10.1	80:(404) 未找到
fs.zto.com	122.225.117.215	80	nginx	80:正常访问
kh.zto.com	47.52.23.6	80,443	Microsoft-IIS/10.0	80:正常访问
global.zto.com	60.191.136.10	80	Microsoft-IIS/10.0	80:正常访问
ly.zto.com	47.110.21.74	80		80:正常访问
order.zto.com	122.225.117.215	80	nginx	80:(404) 未找到
office.zto.com	42.159.4.42	80,443	获取失败	80:-
pop.zto.com	122.225.100.101	80,443	Apache	80:正常访问
smtp.zto.com	122.225.100.101	80,443	Apache	80:正常访问
spam.zto.com	122.225.100.104	80,443	获取失败	80:-
sg.zto.com	203.195.147.223,115.159.159.215	80	DNSPod URL V2.0	80:(404) 未找到
sms.zto.com	122.225.117.247	80,443	nginx/1.10.1	80:正常访问
vpn.zto.com	58.40.16.125	80,443	*****	80:(403) 已禁止
voip.zto.com	116.228.116.242	443	获取失败	443:-
base.zto.com	122.225.117.247	80,443		80:正常访问
vpn2.zto.com	117.131.56.44	443	Apache	443:正常访问
automatic.zto.com	122.225.117.215	80	nginx	80:(502) 错误的网关
basic.zto.com	122.225.117.247	80,443	-	80:(502) 错误的网关
innovation.zto.com	122.225.117.247	80,443		80:正常访问
intelligent.zto.com	122.225.117.215	80	nginx	80:正常访问
apitest.zto.com	60.191.136.6	-	端口未开放	端口未开放
bstest.zto.com	122.225.117.251	80,443	AmazonS3	80:正常访问
callback.zto.com	122.225.100.104	80,443		80:正常访问
hetong.zto.com	122.225.117.215	80	nginx	80:正常访问
mapi.zto.com	122.225.105.69	80,443		80:正常访问
my.zto.com	124.42.244.105,124.42.244.85,124.42.244.89,124.42.244.87,124.42.244.84,124.42.244.88,124.42.244.86,124.42.244.104	80,443	获取失败	80:-
socket.zto.com	122.225.117.218,122.225.117.75	-	端口未开放	端口未开放
testapi.zto.com	122.225.102.195	-	端口未开放	端口未开放
transit.zto.com	122.225.117.247	80,443	nginx/1.10.1	80:正常访问
vpn3.zto.com	211.95.96.142	443	Apache	443:正常访问
wenjuan.zto.com	122.225.117.247	80,443		80:正常访问
qs.zto.com	122.225.117.215	80	nginx	80:正常访问
px.zto.com	42.159.249.165	80	Microsoft-IIS/7.5	80:正常访问
ake.zto.com	122.225.117.215	80	nginx	80:正常访问
cpf.zto.com	122.225.117.215	80	nginx/1.10.1	80:正常访问
ems.zto.com	122.225.117.247	80,443		80:正常访问
ggg.zto.com	203.195.147.223,115.159.159.215	80	DNSPod URL V2.0	80:(404) 未找到
ros.zto.com	101.89.183.133	-	端口未开放	端口未开放
soc.zto.com	122.225.117.247	80,443	-	80:(502) 错误的网关
sso.zto.com	122.225.117.247	80,443	-	80:(502) 错误的网关
sip.zto.com	42.159.34.46	443	RTC/7.0	443:(404) 未找到
ued.zto.com	122.225.117.247	80,443		80:正常访问
zpa.zto.com	163.171.128.161,157.185.163.204	80,443	nginx	80:正常访问
wj.zto.com	101.37.183.143,101.37.183.147,101.37.183.148,101.37.183.144,101.37.183.142,101.37.183.145,101.37.183.169,101.37.183.146	80,443	获取失败	80:-
w3b.zto.com	122.225.117.247	80,443		80:正常访问
biwx.zto.com	122.225.117.247	80,443	-	80:(404) 未找到
dvwa.zto.com	122.225.102.195	-	端口未开放	端口未开放
fwoa.zto.com	122.225.117.237,122.225.117.236	80,443	nginx/1.10.2	80:(404) 未找到
japi.zto.com	122.225.117.224,122.225.117.219	80,443	Tengine/2.2.0	80:(404) 未找到
mdms.zto.com	122.225.117.247	80,443		80:正常访问
newm.zto.com	122.14.43.170,122.14.43.171,122.14.43.125,122.14.43.165,122.14.43.166,122.14.43.167,122.14.43.168,122.14.43.169	80,443	Tengine	80:正常访问
ztkh.zto.com	163.171.128.161,163.171.139.154	80,443		80:正常访问
