域名	解析IP	开放端口	WEB服务器	网站状态
ent.le.com	123.150.50.233,123.125.37.191	80,443	nginx/1.12.0	80:正常访问
best.le.com	123.150.50.233,123.125.37.191	80,443	nginx/1.12.0	80:正常访问
chuang.le.com	123.150.50.233,123.125.37.191	80,443	nginx/1.12.0	80:正常访问
aboutus.le.com	123.150.50.233,123.125.37.191	80,443	nginx/1.12.0	80:正常访问
2014.le.com	123.59.122.223	80	ngx_openresty/1.2.8.1	80:正常访问
ad.le.com	123.59.122.223	80	ngx_openresty/1.2.8.1	80:正常访问
bbs.le.com	123.59.126.233,101.236.15.248,103.252.206.242	-	端口未开放	端口未开放
cloud.le.com	101.236.15.239,103.252.206.234,123.59.123.244	-	端口未开放	端口未开放
auto.le.com	123.59.122.223	80	ngx_openresty/1.2.8.1	80:正常访问
edu.le.com	123.125.37.191,123.150.50.233	80	nginx/1.12.0	80:正常访问
comic.le.com	123.125.37.191,123.150.50.233	443	nginx/1.12.0	443:正常访问
fashion.le.com	123.150.50.233,123.125.37.191	80,443	nginx/1.12.0	80:正常访问
girls.le.com	123.59.122.223	80	ngx_openresty/1.2.8.1	80:正常访问
gem.le.com	123.59.122.223	80	ngx_openresty/1.2.8.1	80:正常访问
fun.le.com	123.59.122.223	80	ngx_openresty/1.2.8.1	80:正常访问
games.le.com	123.59.122.223	80	ngx_openresty/1.2.8.1	80:正常访问
gongyi.le.com	123.59.122.223	80	ngx_openresty/1.2.8.1	80:正常访问
finance.le.com	123.150.50.233,123.125.37.191	80,443	nginx/1.12.0	80:正常访问
dv.le.com	123.59.122.223	80	nginx/1.12.0	80:正常访问
hot.le.com	123.125.37.191,123.150.50.233	80	nginx/1.12.0	80:正常访问
ju.le.com	123.150.50.233,123.125.37.191	80,443	nginx/1.12.0	80:正常访问
jilu.le.com	123.59.122.223	80	ngx_openresty/1.2.8.1	80:正常访问
list.le.com	123.125.37.191,123.150.50.233	80	nginx/1.12.0	80:正常访问
h5.bbs.le.com	123.125.37.191,123.150.50.233	80	nginx/1.12.0	80:正常访问
levr.le.com	123.59.122.223	80	ngx_openresty/1.2.8.1	80:正常访问
huiyuan.hz.le.com	112.84.133.11,139.209.89.125,124.67.23.253,61.162.172.185,121.30.192.9,58.20.206.154,61.180.227.172	80,443	nginx	80:(403) 已禁止
live.le.com	123.125.37.191,123.150.50.233	80	nginx/1.12.0	80:正常访问
mobile.le.com	123.59.122.223	80	ngx_openresty/1.2.8.1	80:正常访问
evip.yuanxian.le.com	123.59.126.233,103.252.206.242,101.236.15.248	80,443	nginx	80:正常访问
paike.le.com	123.125.37.191,123.150.50.233	80	nginx/1.12.0	80:正常访问
music.le.com	123.125.37.191,123.150.50.233	80	nginx/1.12.0	80:正常访问
news.le.com	123.59.122.223	80	ngx_openresty/1.2.8.1	80:正常访问
