域名	解析IP	开放端口	WEB服务器	网站状态
union.lemall.com	123.59.122.73,101.236.15.224	80,443	nginx	80:正常访问
cn.lemall.com	123.59.122.73,101.236.15.224	80,443	nginx	80:正常访问
us.lemall.com	101.236.15.224,123.59.122.73	80,443	nginx	80:正常访问
m.lemall.com	101.236.15.224,123.59.122.73	80,443	nginx	80:正常访问
in.lemall.com	101.236.15.224,123.59.122.73	80,443	nginx	80:正常访问
www.lemall.com	123.59.122.73,101.236.15.224	80,443	nginx	80:正常访问
img2.lemall.com	101.236.15.224,123.59.122.73	80,443	nginx	80:正常访问
img1.lemall.com	101.236.15.224,123.59.122.73	80,443	nginx	80:正常访问
img3.lemall.com	101.236.15.224,123.59.122.73	80,443	nginx	80:正常访问
my.lemall.com	101.236.15.224,123.59.122.73	80,443	nginx	80:正常访问
forum.lemall.com	23.248.187.104	-	端口未开放	端口未开放
hk.lemall.com	123.59.122.73,101.236.15.224	80,443	nginx	80:正常访问
sdk.lemall.com	106.39.244.243,123.125.91.246,106.38.180.247,111.206.211.225	-	端口未开放	端口未开放
recommend.lemall.com	123.59.122.73,101.236.15.224	80,443	获取失败	80:-
cart.lemall.com	101.236.15.224,123.59.122.73	80,443	nginx	80:正常访问
bigdata.lemall.com	101.236.15.224,123.59.122.73	80,443	nginx	80:(404) 未找到
openvpn.lemall.com	77.4.7.92	-	端口未开放	端口未开放
