域名	解析IP	开放端口	WEB服务器	网站状态
cp.lesports.com	47.100.41.124	80	Tengine	80:正常访问
cms.lesports.com	10.112.36.182	-	端口未开放	端口未开放
jc.lesports.com	139.196.251.66	80	Tengine	80:正常访问
m.lesports.com	59.108.155.214,59.108.155.217,59.108.155.216,59.108.155.229,59.108.155.218,59.108.155.215,59.108.155.228,59.108.155.213	-	端口未开放	端口未开放
mall.lesports.com	123.59.229.8	-	端口未开放	端口未开放
www.lesports.com	121.31.31.41,121.31.31.103,121.31.31.210,121.31.31.211,121.31.31.39,121.31.31.40,121.31.31.209,121.31.31.172	80,443	Tengine	80:正常访问
zt.mall.lesports.com	123.59.125.82	-	端口未开放	端口未开放
cegc2016.esports.lesports.com	123.59.125.82	-	端口未开放	端口未开放
cft.lesports.com	123.125.37.191,123.150.50.233	80,443	nginx/1.12.0	80:正常访问
mail1.lesports.com	211.155.81.51	-	端口未开放	端口未开放
api.lesports.com	101.132.90.209	80	openresty	80:(403) 已禁止
ai.lesports.com	10.124.12.251,10.122.12.251	-	端口未开放	端口未开放
hot.lesports.com	123.59.126.233,103.252.206.242,101.236.15.248	80,443	nginx	80:正常访问
mobile.lesports.com	111.206.209.160	-	端口未开放	端口未开放
hk.lesports.com	119.28.164.79,203.205.138.233,119.28.164.206,119.28.165.14,203.205.138.118,119.28.164.204,119.28.164.78,203.205.138.106,203.205.138.12,119.28.164.205,203.205.138.78,203.205.138.76	80,443	获取失败	80:-
ad.lesports.com	101.236.15.254,103.252.206.249	80,443	nginx	80:正常访问
ads.lesports.com	123.59.125.25	-	端口未开放	端口未开放
play.lesports.com	47.91.195.239,47.91.195.238	80,443	Tengine	80:(403) 已禁止
edu.lesports.com	123.59.125.82	-	端口未开放	端口未开放
fs.lesports.com	120.192.82.209,120.192.82.203,120.192.82.202,120.192.82.208,120.192.82.204,120.192.82.206,120.192.82.205,120.192.82.210	80	Tengine	80:(403) 已禁止
mail2.lesports.com	211.155.81.52	-	端口未开放	端口未开放
sms.lesports.com	10.154.157.38	-	端口未开放	端口未开放
shoot.lesports.com	106.15.156.16	80	QmdhZiBtayEK	80:(404) 未找到
match.lesports.com	106.15.81.117	80	-	80:(405) 不允许的方法
ticket.lesports.com	101.236.15.242,123.59.123.77,103.252.206.236	80,443	nginx	80:正常访问
duba.lesports.com	112.84.133.11,121.30.192.9,61.180.227.172,61.162.172.185,58.20.206.154,139.209.89.125,124.67.23.253	-	端口未开放	端口未开放
chongqing.lesports.com	101.236.15.254,103.252.206.249	80,443	nginx	80:正常访问
guang.lesports.com	101.132.96.2	80	获取失败	80:-
mail3.lesports.com	211.155.81.54	-	端口未开放	端口未开放
mtest.lesports.com	101.132.90.209	80	openresty	80:正常访问
mgame.lesports.com	101.236.15.251	-	端口未开放	端口未开放
openvpn.bjbgp.lesports.com	253.157.14.165	-	端口未开放	端口未开放
openvpn.lesports.com	197.4.4.12	-	端口未开放	端口未开放
static.api.lesports.com	101.132.90.209	80	openresty	80:(403) 已禁止
tapi.lesports.com	101.132.90.209	80	openresty	80:(403) 已禁止
zc.lesports.com	123.59.126.233,103.252.206.242,101.236.15.248	80,443	nginx	80:正常访问
yx.lesports.com	123.59.126.233,103.252.206.242,101.236.15.248	80,443	nginx	80:正常访问
ti.lesports.com	106.14.52.186	-	端口未开放	端口未开放
ski.lesports.com	139.217.25.158	-	端口未开放	端口未开放
sso.lesports.com	103.252.206.236,101.236.15.242,123.59.123.77	-	端口未开放	端口未开放
cqwm.lesports.com	211.138.122.239,211.138.122.220,211.138.122.221,211.138.122.207,211.138.122.208,211.138.122.229,211.138.122.224,211.138.122.231,211.138.122.223,211.138.122.226	80	Tengine	80:正常访问
