域名	解析IP	开放端口	WEB服务器	网站状态
m.laohu.com	221.230.143.101,222.186.145.188	80,443	nginx	80:正常访问
zx.laohu.com	221.230.143.101,222.186.145.188	80,443	nginx	80:正常访问
www.laohu.com	221.230.143.101,222.186.145.188	80,443	nginx	80:正常访问
img.laohu.com	221.230.143.101,49.79.232.65	80,443	nginx	80:(403) 已禁止
i.laohu.com	109.244.11.47	80,443	nginx	80:正常访问
user.laohu.com	109.244.11.47,109.244.11.45,109.244.11.48,109.244.11.46	80,443	nginx	80:正常访问
log.laohu.com	123.196.115.39	80,443	nginx	80:(403) 已禁止
bbs.laohu.com	221.228.192.66	80,443	nginx	80:正常访问
kf.laohu.com	109.244.11.48	80,443	nginx	80:正常访问
ops.laohu.com	109.244.11.48	80,443	nginx	80:正常访问
yt.laohu.com	221.230.143.58,221.230.143.101	80,443	nginx	80:正常访问
apidev.laohu.com	109.244.11.45,109.244.11.47,109.244.11.48,109.244.11.46	80,443	nginx	80:正常访问
sdxl.laohu.com	222.186.145.188,221.230.143.101	80,443	nginx	80:正常访问
ff.laohu.com	221.230.143.101,221.230.143.58	80,443	nginx	80:正常访问
qyz.laohu.com	49.79.232.65,58.221.28.167	80,443	nginx	80:正常访问
xxa.laohu.com	221.230.143.101,222.186.145.188	80,443	nginx	80:正常访问
