域名	解析IP	开放端口	WEB服务器	网站状态
am.wanmei.com	222.186.145.188,221.230.143.101	80,443	nginx	80:正常访问
arc.wanmei.com	221.230.143.101,222.186.145.188	80,443	nginx	80:正常访问
anhei.wanmei.com	222.186.145.188,221.230.143.101	80,443	nginx	80:正常访问
bbs.mhzx.wanmei.com	222.186.145.188,221.230.143.101	80,443	获取失败	80:-
bbs.kdxy.wanmei.com	221.228.192.68	80,443	nginx	80:正常访问
bbs.rewu.wanmei.com	222.186.145.188,221.230.143.101	80,443	获取失败	80:-
bbs.mhzx2.wanmei.com	221.228.192.68	80,443	nginx	80:正常访问
bbs.nw.wanmei.com	221.228.192.68	80,443	nginx	80:正常访问
bbs.zzbq.wanmei.com	221.228.192.68	80,443	nginx	80:正常访问
campus.wanmei.com	221.230.143.101,222.186.145.188	80,443	nginx	80:正常访问
cd.wanmei.com	222.186.145.188,221.230.143.101	80,443	nginx	80:正常访问
chibi.wanmei.com	221.230.143.101,222.186.145.188	80,443	nginx	80:正常访问
client.ms.wanmei.com	222.186.145.188,221.230.143.101	80,443	nginx/1.10.3	80:(403) 已禁止
co.wanmei.com	222.186.145.188,221.230.143.101	80,443	nginx	80:正常访问
cs.wanmei.com	221.228.74.159	80,443	nginx	80:正常访问
d.wanmei.com	222.186.145.188,221.230.143.101	80,443	nginx	80:正常访问
burentuan.mhzx2.wanmei.com	221.228.210.155	-	端口未开放	端口未开放
dota2.wanmei.com	221.230.143.101,222.186.145.188	80,443	nginx	80:正常访问
esales.wanmei.com	221.228.210.100	80,443	Apache-Coyote/1.1	80:正常访问
event.wanmei.com	221.228.74.250	80,443	nginx	80:正常访问
cs.zhuxian.wanmei.com	61.152.110.229	-	端口未开放	端口未开放
daoju.wanmei.com	58.215.54.169	-	端口未开放	端口未开放
event2.kdxy.wanmei.com	221.228.210.186	-	端口未开放	端口未开放
event2.rwpd.wanmei.com	221.228.210.186	-	端口未开放	端口未开放
event2.zhuxian.wanmei.com	221.228.210.186	-	端口未开放	端口未开放
event3.chibi.wanmei.com	221.228.210.186	-	端口未开放	端口未开放
event3.kdxy.wanmei.com	221.228.210.186	-	端口未开放	端口未开放
event3.rwpd.wanmei.com	221.228.210.186	-	端口未开放	端口未开放
event3.w2i.wanmei.com	221.228.210.186	-	端口未开放	端口未开放
event50.wanmei.com	221.230.143.101,222.186.145.188	80,443	nginx	80:正常访问
event3.wulin2.wanmei.com	221.228.210.186	-	端口未开放	端口未开放
event3.zhuxian.wanmei.com	221.228.210.186	-	端口未开放	端口未开放
fcwm.wanmei.com	221.230.143.101,222.186.145.188	80,443	nginx	80:正常访问
games.wanmei.com	222.186.145.188,221.230.143.101	80,443	nginx	80:正常访问
event4.chibi.wanmei.com	221.228.210.186	-	端口未开放	端口未开放
general.dl.wanmei.com	114.236.141.6,114.236.141.51,114.236.141.11,180.97.196.31,180.97.196.41,180.97.196.51,114.236.141.16,114.236.141.21,180.97.196.46,180.97.196.36	80,443	vcs_os/1.0.30	80:(403) 已禁止
event4.kdxy.wanmei.com	221.228.210.186	-	端口未开放	端口未开放
event4.rwpd.wanmei.com	221.228.210.186	-	端口未开放	端口未开放
gongyi.wanmei.com	221.228.74.247	80,443	nginx	80:正常访问
gx.shop.wanmei.com	183.129.194.66	80,443	Microsoft-HTTPAPI/2.0	80:(404) 未找到
event4.zhuxian.wanmei.com	221.228.210.186	-	端口未开放	端口未开放
hex.wanmei.com	221.228.74.247	80,443	nginx	80:正常访问
hy.shenmo.wanmei.com	222.186.145.188,221.230.143.101	80,443	nginx	80:正常访问
hytj.wanmei.com	221.230.143.101,222.186.145.188	80,443	nginx	80:正常访问
info.shenmo.wanmei.com	222.186.145.188,221.230.143.101	80,443	nginx	80:正常访问
event5.wulin2.wanmei.com	221.228.210.186	-	端口未开放	端口未开放
event5.zhuxian.wanmei.com	221.228.210.186	-	端口未开放	端口未开放
lingpai.wanmei.com	221.228.210.81,221.228.210.80	80,443	nginx	80:正常访问
hr.wanmei.com	124.193.167.93	80	nginx/1.10.2	80:正常访问
mhsd.wanmei.com	222.186.145.188,221.230.143.101	80,443	nginx	80:正常访问
mhzx2.wanmei.com	221.230.143.101,222.186.145.188	80,443	nginx	80:正常访问
mhzx.wanmei.com	221.228.74.247	80,443	nginx	80:正常访问
nwolxbox.wanmei.com	221.228.74.248	80,443	nginx	80:正常访问
passport.wanmei.com	221.228.74.142,221.228.74.141,221.228.74.140,221.228.74.143,221.228.74.139	80,443	nginx	80:正常访问
hi.shenmo.wanmei.com	58.215.101.243	-	端口未开放	端口未开放
pay.wanmei.com	221.228.210.81,221.228.210.80	80,443	nginx	80:正常访问
pgp.wanmei.com	221.230.143.101,222.186.145.188	80,443	nginx	80:正常访问
mx01-17.support.wanmei.com	118.145.0.12	80	Apache-Coyote/1.1	80:(403) 已禁止
panzar.wanmei.com	221.228.74.215,221.228.74.214	80	nginx	80:(404) 未找到
pictures.wanmei.com	221.230.143.101,222.186.145.188	80,443	nginx	80:正常访问
post.zhuxian2.wanmei.com	221.230.143.101,222.186.145.188	80,443	nginx	80:正常访问
pwic.wanmei.com	222.186.145.188,221.230.143.101	80,443	nginx	80:正常访问
rwpd.wanmei.com	221.230.143.101,222.186.145.188	80,443	nginx	80:正常访问
rwpd2.wanmei.com	222.186.145.188,221.230.143.101	80,443	nginx	80:正常访问
sds.wanmei.com	222.186.145.188,221.230.143.101	80,443	nginx	80:正常访问
sdxl.wanmei.com	221.230.143.101,222.186.145.188	80,443	nginx	80:正常访问
