域名	解析IP	开放端口	WEB服务器	网站状态
zhiwang.yixin.com	101.254.100.56	80,443	Tengine	80:正常访问
m.yixin.com	117.122.213.184	80,443	nginx	80:正常访问
c.yixin.com	117.122.213.139	80,443	Tengine	80:正常访问
yirendai.yixin.com	106.42.25.198,122.228.238.100	80,443	获取失败	80:-
x.yixin.com	117.122.213.139	80,443	Tengine	80:正常访问
email.yixin.com	117.122.213.159	80,443	nginx	80:正常访问
www.yixin.com	101.254.241.68	80,443	nginx	80:正常访问
app.yixin.com	101.254.241.66	80,443	nginx	80:(404) 未找到
openapi.yixin.com	101.254.241.83	80,443	-	80:(404) 未找到
download.yixin.com	202.109.158.12,220.177.178.14,220.177.178.11,202.109.158.18,220.177.178.12,220.177.178.15,220.177.178.18,202.109.158.14,202.109.158.15,202.109.158.11	80,443	nginx/1.6.2	80:(403) 已禁止
admin.yixin.com	39.155.251.251	80	nginx/1.12.2	80:正常访问
auth.yixin.com	101.254.100.39	80,443	-	80:(403) 已禁止
cf.yixin.com	117.122.213.139	80,443	Tengine	80:正常访问
go.yixin.com	117.122.213.139	80,443	Tengine	80:(404) 未找到
ftp.yixin.com	101.254.100.28	-	端口未开放	端口未开放
8.yixin.com	117.122.213.183	80,443	Tengine	80:(403) 已禁止
mark.yixin.com	101.254.241.123	80,443	nginx/1.12.1	80:(403) 已禁止
learn.yixin.com	101.254.241.123	80,443	nginx/1.12.1	80:正常访问
ice.yixin.com	39.155.251.252	80,443	Tengine/2.2.2	80:(403) 已禁止
wealth.yixin.com	101.254.241.121	80	nginx	80:正常访问
cai.yixin.com	117.122.213.43	80,443	Tengine	80:正常访问
platform.yixin.com	101.254.100.39	80,443	-	80:(405) 不允许的方法
cash.yixin.com	101.254.241.83	80,443	-	80:(404) 未找到
resource.yixin.com	101.254.100.29	80,443	Tengine	80:正常访问
f5ctc.yixin.com	36.110.49.150	-	端口未开放	端口未开放
lccp.yixin.com	118.244.192.175	-	端口未开放	端口未开放
mpay.yixin.com	117.122.213.189	80,443	-	80:(404) 未找到
opentest.yixin.com	101.254.166.187	80,443	nginx/1.7.10	80:(502) 错误的网关
testoa.yixin.com	101.254.166.187	80,443	获取失败	80:-
xinyi.yixin.com	117.122.213.48	80,443	nginx	80:(502) 错误的网关
ic.yixin.com	101.254.241.83,117.122.213.189	80,443		80:正常访问
ams.yixin.com	117.122.213.220	80,443	nginx/1.12.1	80:(403) 已禁止
cps.yixin.com	101.254.100.47	80,443	nginx	80:正常访问
icc.yixin.com	101.254.166.187	80,443	nginx/1.7.10	80:(403) 已禁止
icb.yixin.com	101.254.166.187	80,443	nginx/1.7.10	80:正常访问
mfa.yixin.com	101.254.100.47	80,443	nginx	80:正常访问
qsj.yixin.com	101.254.100.11	80,443	nginx	80:(404) 未找到
wzs.yixin.com	117.122.213.220	80,443	-	80:(405) 不允许的方法
yao.yixin.com	117.122.213.186	80,443	-	80:(404) 未找到
bxtg.yixin.com	117.122.213.43	80,443	获取失败	80:-
ixsh.yixin.com	101.254.166.187	80,443	获取失败	80:-
sera.yixin.com	117.122.213.186	80,443		80:正常访问
sop3.yixin.com	117.122.213.220	80,443	nginx/1.12.1	80:(403) 已禁止
zcpz.yixin.com	101.254.241.123	80,443	nginx/1.12.1	80:(403) 已禁止
