域名	解析IP	开放端口	WEB服务器	网站状态
pay.fuiou.com	211.147.68.142	80,443	nginx	80:正常访问
gift.fuiou.com	211.147.68.218	80,443	Apache-Coyote/1.1	80:(403) 已禁止
jipiao.fuiou.com	211.147.68.141	-	端口未开放	端口未开放
a.fuiou.com	211.147.68.168	-	端口未开放	端口未开放
sxf.fuiou.com	211.147.68.159	-	端口未开放	端口未开放
m.fuiou.com	211.147.68.161	80	Apache-Coyote/1.1	80:(404) 未找到
www.fuiou.com	211.147.68.156	80,443	nginx	80:(500) 内部服务器错误
fly.fuiou.com	211.147.68.200	80,443	nginx	80:正常访问
jzh.fuiou.com	211.147.87.65	80	nginx	80:正常访问
wmp.fuiou.com	211.147.68.241	80	nginx	80:正常访问
card.fuiou.com	211.147.68.219	80,443	nginx	80:正常访问
b.fuiou.com	211.147.68.235	443	nginx	443:正常访问
g.fuiou.com	211.147.68.157	80,443	Apache-Coyote/1.1	80:正常访问
c.fuiou.com	211.147.68.140	-	端口未开放	端口未开放
p.fuiou.com	116.239.4.197	-	端口未开放	端口未开放
wap.fuiou.com	211.147.68.186	80,443	nginx	80:(404) 未找到
r.fuiou.com	211.147.68.238	443	nginx	443:(404) 未找到
mail.fuiou.com	211.147.68.148	-	端口未开放	端口未开放
buy.fuiou.com	211.147.68.202	80,443	Apache-Coyote/1.1	80:(403) 已禁止
static.fuiou.com	211.147.68.143	80,443	nginx	80:(403) 已禁止
express.fuiou.com	211.147.68.186	80,443	nginx	80:(404) 未找到
open.fuiou.com	211.147.68.186	80,443	nginx	80:正常访问
msg.fuiou.com	211.147.83.241	-	端口未开放	端口未开放
pan.fuiou.com	116.239.4.194	-	端口未开放	端口未开放
run.fuiou.com	211.147.68.169	80,443	nginx	80:正常访问
chi.fuiou.com	211.147.68.186	80,443	nginx	80:(403) 已禁止
cg.fuiou.com	211.147.68.241	80	nginx	80:正常访问
ftp.fuiou.com	211.144.211.174	80,443	nginx	80:正常访问
global.fuiou.com	211.147.68.186	80,443	nginx	80:正常访问
mh.fuiou.com	211.147.68.187	80,443	nginx	80:(403) 已禁止
mail2.fuiou.com	206.161.233.59	-	端口未开放	端口未开放
pac.fuiou.com	211.147.68.137	80,443	Apache-Coyote/1.1	80:(404) 未找到
sms.fuiou.com	211.147.68.136	80,443	nginx	80:正常访问
reg.fuiou.com	211.147.68.138	-	端口未开放	端口未开放
sy.fuiou.com	112.13.67.233	80,443	nginx	80:(404) 未找到
8.fuiou.com	211.147.68.164	80,443	Apache-Coyote/1.1	80:正常访问
g2.fuiou.com	211.147.68.156	80,443	nginx	80:(500) 内部服务器错误
wallet.fuiou.com	211.147.68.176	443	nginx	443:(502) 错误的网关
www-1.fuiou.com	180.168.100.155	443	nginx	443:(404) 未找到
easy.fuiou.com	211.147.68.186	80,443	nginx	80:(403) 已禁止
www-2.fuiou.com	116.239.4.195	-	端口未开放	端口未开放
park.fuiou.com	116.239.7.117	443	nginx	443:(404) 未找到
168.fuiou.com	211.147.68.158	80,443	Apache-Coyote/1.1	80:正常访问
baoxian.fuiou.com	211.147.68.232	80,443	nginx	80:(404) 未找到
caipiao.fuiou.com	211.144.211.170	-	端口未开放	端口未开放
koubei.fuiou.com	211.147.68.241	80	nginx	80:(404) 未找到
licai.fuiou.com	211.147.68.147	80,443	Apache-Coyote/1.1	80:(403) 已禁止
mpay.fuiou.com	211.147.68.136	80,443	nginx	80:正常访问
