域名	解析IP	开放端口	WEB服务器	网站状态
call.mi.com	58.221.28.167,222.186.145.187,58.221.28.158,58.216.21.126,49.79.232.65	80,443		80:正常访问
cok.mi.com	58.221.28.158,58.216.21.126,49.79.232.65,222.186.145.187,58.221.28.167	80,443		80:正常访问
cart.mi.com	203.100.92.69	80,443	MIWS	80:正常访问
cp.mi.com	180.97.217.17	80,443	CLOUD ELB 1.0.0	80:正常访问
huanxin.mi.com	203.100.92.69	80,443	MIWS	80:正常访问
home.mi.com	203.100.92.110,118.26.252.156	80,443	Tengine	80:正常访问
game.mi.com	42.62.94.245	80,443	Tengine	80:正常访问
jxsj.mi.com	58.221.28.158,58.216.21.126,49.79.232.65,222.186.145.187,58.221.28.167	80,443	openresty	80:正常访问
item.mi.com	58.220.73.178,58.222.40.26,58.220.40.132,58.220.44.182,58.220.40.16	80,443	MIFE/3.0	80:正常访问
e.mi.com	117.48.116.17,118.26.252.75	80,443	-	80:(405) 不允许的方法
app.mi.com	117.48.116.204,118.26.252.203	80,443	-	80:(405) 不允许的方法
mitu.mi.com	58.83.160.153,58.83.160.156,58.83.160.155,58.83.160.154	80,443	Tengine	80:正常访问
m.app.mi.com	117.48.116.204,118.26.252.203	80,443	-	80:(405) 不允许的方法
list.mi.com	58.220.40.132,58.220.44.182,58.220.40.16,58.220.73.178,180.97.251.53	80,443	MIFE/3.0	80:正常访问
s1.mi.com	58.222.40.26,58.220.73.178,58.220.40.16,58.220.40.132,58.220.44.182	80,443	MIWS	80:正常访问
order.mi.com	203.100.92.69	80,443	MIFE/3.0	80:正常访问
static.mi.com	58.220.40.16,58.220.73.178,58.222.40.26,58.220.44.182,58.220.40.132	80,443	MIFE/3.0	80:(403) 已禁止
mibi.mi.com	58.83.160.55,183.84.5.158	80,443	-	80:(405) 不允许的方法
fuwu.mi.com	58.83.160.153,58.83.160.154,58.83.160.155,58.83.160.156	80,443	MIFE/3.0	80:正常访问
dev.mi.com	117.48.116.204,118.26.252.203	80,443	-	80:(405) 不允许的方法
i.mi.com	58.83.160.225	80,443	Tengine	80:(405) 不允许的方法
union.mi.com	58.83.160.159	80,443	nginx	80:正常访问
peijian.mi.com	58.83.160.153,58.83.160.155,58.83.160.156,58.83.160.154	80,443	MIFE/3.0	80:正常访问
search.mi.com	58.220.40.132,58.222.40.26,58.220.40.16,58.220.44.182,58.220.73.178	80,443	MIFE/3.0	80:正常访问
recharge.10046.mi.com	117.48.116.68	80,443	-	80:(405) 不允许的方法
qiye.mi.com	203.100.93.109,203.100.93.110	80,443	MIWS	80:正常访问
tuan.qiye.mi.com	203.100.93.109,203.100.93.110	80,443	MIWS	80:正常访问
g.mi.com	120.92.98.245	80,443	Tengine	80:正常访问
pcsuite.mi.com	161.117.71.176	80		80:正常访问
b.mi.com	58.83.177.139,183.84.6.104	80,443		80:正常访问
jr.mi.com	183.84.5.151,58.83.160.16	80,443	-	80:(405) 不允许的方法
jd.mi.com	118.26.252.147	80,443	-	80:(405) 不允许的方法
r.mi.com	203.100.93.109,203.100.93.110	80,443	MIWS	80:(404) 未找到
p.mi.com	118.26.252.95,117.48.116.63	80,443	获取失败	80:-
z.mi.com	203.100.92.180	80,443	获取失败	80:-
yp.mi.com	203.100.92.180	80,443	获取失败	80:-
mall.mi.com	203.100.92.69	80,443	MIWS	80:正常访问
ai.mi.com	120.92.16.68	80,443	nginx/1.8.0	80:正常访问
s.mi.com	13.232.154.103,13.126.231.62	80,443	Tengine	80:(404) 未找到
cat.mi.com	58.221.28.158,58.216.21.126,49.79.232.65,222.186.145.187,58.221.28.167	80,443		80:正常访问
us.i.mi.com	34.208.142.54,52.40.216.75	80,443	Tengine	80:(405) 不允许的方法
j.mi.com	117.48.116.108,118.26.252.114	443	Tengine	443:(404) 未找到
hr.mi.com	58.83.160.154,58.83.160.156,58.83.160.153,58.83.160.155	80,443	MIWS	80:正常访问
open.mi.com	111.206.200.7	80,443	获取失败	80:-
my.mi.com	203.100.93.109,203.100.93.110	80,443	nginx	80:正常访问
id.mi.com	118.26.252.4,203.100.93.99	80,443	nginx	80:正常访问
c.mi.com	54.169.101.186,52.76.135.106,52.74.239.71,52.76.215.56,54.169.241.95,52.221.42.29	80,443	nginx	80:正常访问
shop.mi.com	203.100.92.69	80,443	MIWS	80:(405) 不允许的方法
account.mi.com	118.26.252.4,203.100.93.99	80,443	nginx	80:正常访问
theme.mi.com	117.48.116.205,118.26.252.205	80,443	-	80:(405) 不允许的方法
ad.mi.com	117.48.116.17,118.26.252.75	80,443	-	80:(405) 不允许的方法
play.mi.com	42.62.94.245	80,443	获取失败	80:-
ak.mi.com	58.216.21.126,58.221.28.167,222.186.145.187,58.221.28.158,49.79.232.65	80,443	-	80:(403) 已禁止
wan.mi.com	111.206.200.57,111.206.200.58	80	-	80:(404) 未找到
code.mi.com	118.26.252.95,117.48.116.63	80,443	MIWS	80:正常访问
designer.mi.com	118.26.252.205,117.48.116.205	80,443	-	80:(405) 不允许的方法
disney.mi.com	111.206.200.7	80,443	获取失败	80:-
bi.mi.com	10.132.99.118	-	端口未开放	端口未开放
io.mi.com	203.100.92.110,118.26.252.156	80,443	Tengine	80:正常访问
live.mi.com	58.216.21.126,49.79.232.65,58.221.28.167,58.221.28.158,222.186.145.187	80,443		80:正常访问
mr.mi.com	222.186.145.187,49.79.232.65,58.221.28.158,58.221.28.167,58.216.21.126	80,443		80:正常访问
speed.mi.com	111.206.200.7	80,443	获取失败	80:-
8.mi.com	58.83.160.16,183.84.5.151	80,443	-	80:(405) 不允许的方法
h5.mi.com	58.220.73.178,58.220.44.182,58.222.40.26,58.220.40.132,58.220.40.16	80,443	MIFE/3.0	80:(400) 错误的请求
texas.mi.com	49.79.232.65,222.186.145.187,58.221.28.167,58.221.28.158,58.216.21.126	80,443		80:正常访问
tv.mi.com	203.100.92.18	80,443	Resin/4.0.38	80:(404) 未找到
cloud.mi.com	54.223.183.5	80,443	nginx/1.8.0	80:正常访问
car.mi.com	58.216.21.126,222.186.145.187,49.79.232.65,58.221.28.167,58.221.28.158	80,443	Tengine	80:正常访问
gun.mi.com	58.221.28.167,58.221.28.158,58.216.21.126,222.186.145.187,49.79.232.65	80,443	Tengine	80:正常访问
company.mi.com	58.222.40.26,58.220.40.132,58.220.73.178,58.220.40.16,58.220.44.182	80,443	Tengine	80:正常访问
strike.mi.com	111.206.200.7	80,443	获取失败	80:-
unity.mi.com	38.123.103.5	80,443	获取失败	80:-
running.mi.com	111.206.200.7	80,443	获取失败	80:-
