域名	解析IP	开放端口	WEB服务器	网站状态
www.miui.com	120.92.96.197	80,443	nginx/1.14.1	80:正常访问
geek.miui.com	120.92.96.197	80,443	nginx/1.14.1	80:正常访问
feedback.miui.com	203.100.92.47	80,443	-	80:(405) 不允许的方法
zhushou.miui.com	120.92.96.197	80,443	nginx/1.14.1	80:正常访问
proxy.sec.miui.com	203.100.92.58,118.26.252.139	80,443	nginx/1.14.1	80:正常访问
app.miui.com	118.26.252.201,117.48.116.16	80,443	-	80:(404) 未找到
static.bbs.miui.com	222.186.137.239,222.186.137.232,58.222.37.55,58.222.37.54,222.186.137.240,58.222.37.58,58.222.37.57,222.186.137.231,222.186.137.230,58.222.37.53	80,443	nginx/1.14.1	80:(404) 未找到
attach.bbs.miui.com	58.221.28.167,58.221.28.158,222.186.145.187,58.216.21.126,49.79.232.65	80,443	nginx/1.14.1	80:(400) 错误的请求
tw.miui.com	47.74.175.12	80		80:正常访问
hk.miui.com	47.74.175.72	80		80:正常访问
id.miui.com	47.74.175.239	80,443	Server/1.12.2	80:(404) 未找到
en.miui.com	47.88.199.12	80,443		80:正常访问
update.miui.com	203.100.92.183,118.26.252.47	80,443	-	80:(403) 已禁止
vip.miui.com	58.83.160.131	80	-	80:(404) 未找到
huangye.miui.com	114.54.23.3	-	端口未开放	端口未开放
in.miui.com	13.126.11.212,13.232.94.96	80	Server/1.12.2	80:正常访问
stats.miui.com	10.132.99.248	-	端口未开放	端口未开放
tracking.miui.com	118.26.252.201,117.48.116.16	80,443	-	80:(404) 未找到
ucenter.miui.com	120.92.96.197	80,443	nginx/1.14.1	80:正常访问
xk.miui.com	120.92.66.39	80,443		80:正常访问
bbs.miui.com	120.92.96.197	80,443	获取失败	80:-
