域名	解析IP	开放端口	WEB服务器	网站状态
www.xiaomi.cn	203.100.93.110,203.100.93.109	80,443	MIWS	80:正常访问
api.xiaomi.cn	203.100.93.109,203.100.93.110	80,443	MIWS	80:正常访问
uvip.xiaomi.cn	203.100.93.109,203.100.93.110	80,443	MIWS	80:正常访问
xinshou.xiaomi.cn	203.100.93.110,203.100.93.109	80,443	MIWS	80:正常访问
bbs.xiaomi.cn	203.100.93.110,203.100.93.109	80,443	MIWS	80:正常访问
pai.xiaomi.cn	203.100.93.109,203.100.93.110	80,443	MIWS	80:正常访问
static.xiaomi.cn	125.90.207.138,113.96.172.80	80,443	MIWS	80:正常访问
zhen.hd.xiaomi.cn	203.100.93.110,203.100.93.109	80,443	MIWS	80:正常访问
s1.bbs.xiaomi.cn	113.96.172.80,125.90.207.138	80,443	MIWS	80:正常访问
wan.xiaomi.cn	203.100.93.109,203.100.93.110	80,443	MIWS	80:正常访问
hd.xiaomi.cn	203.100.93.109,203.100.93.110	80,443	MIWS	80:正常访问
m.xiaomi.cn	203.100.93.109,203.100.93.110	80,443	MIWS	80:正常访问
x3.xiaomi.cn	203.100.93.109,203.100.93.110	80,443	MIWS	80:正常访问
so.bbs.xiaomi.cn	203.100.93.109,203.100.93.110	80,443	MIWS	80:正常访问
down.xiaomi.cn	203.100.93.109,203.100.93.110	80,443	MIWS	80:正常访问
error.www.xiaomi.cn	203.100.93.110,203.100.93.109	80,443	MIWS	80:正常访问
rom.xiaomi.cn	203.100.93.109,203.100.93.110	80,443	MIWS	80:正常访问
michina.hd.xiaomi.cn	203.100.93.109,203.100.93.110	80,443	MIWS	80:(500) 内部服务器错误
michina.xiaomi.cn	203.100.93.109,203.100.93.110	80,443	MIWS	80:(500) 内部服务器错误
photo.xiaomi.cn	203.100.93.110,203.100.93.109	80,443	MIWS	80:正常访问
geek.xiaomi.cn	203.100.93.110,203.100.93.109	80,443	MIWS	80:正常访问
mi3.hd.xiaomi.cn	203.100.93.109,203.100.93.110	80,443	MIWS	80:正常访问
buy.hd.xiaomi.cn	203.100.93.109,203.100.93.110	80,443	MIWS	80:正常访问
fe03.ny.xiaomi.cn	180.186.35.109,180.186.35.108	-	端口未开放	端口未开放
wiki.xiaomi.cn	42.62.94.123,42.62.94.122	-	端口未开放	端口未开放
faq.xiaomi.cn	42.62.94.122,42.62.94.123	-	端口未开放	端口未开放
t.xiaomi.cn	42.62.48.63,42.62.48.62	-	端口未开放	端口未开放
home.xiaomi.cn	42.62.94.123,42.62.94.122	-	端口未开放	端口未开放
mob.xiaomi.cn	42.62.94.122,42.62.94.123	-	端口未开放	端口未开放
dh.xiaomi.cn	42.62.94.123,42.62.94.122	-	端口未开放	端口未开放
stat.xiaomi.cn	203.100.93.110,203.100.93.109	80,443	MIWS	80:正常访问
static.bbs.xiaomi.cn	113.104.14.229,218.14.200.84	80,443	获取失败	80:-
city.xiaomi.cn	203.100.93.109,203.100.93.110	80,443	获取失败	80:-
xue.xiaomi.cn	203.100.93.110,203.100.93.109	80,443	获取失败	80:-
