域名	解析IP	开放端口	WEB服务器	网站状态
a.stat.xiaomi.com	120.92.81.141	80,443	CLOUD ELB 1.0.0	80:(403) 已禁止
hao.xiaomi.com	47.74.140.74	80,443		80:正常访问
hr.xiaomi.com	203.100.93.109,203.100.93.110	80,443	MIWS	80:正常访问
designer.xiaomi.com	47.74.172.255	80,443	-	80:(405) 不允许的方法
hd.xiaomi.com	139.209.89.125,124.67.23.253,61.162.172.185,121.30.192.9,58.20.206.154,61.180.227.172,112.84.133.11	80,443	nginx	80:(403) 已禁止
game.xiaomi.com	111.206.200.7	80,443	Tengine	80:正常访问
apps.xiaomi.com	58.83.177.217,183.84.5.210	80,443	-	80:(405) 不允许的方法
hk.xiaomi.com	13.250.88.132,54.255.129.187	80,443	MIFE/3.0	80:正常访问
account.xiaomi.com	18.136.147.166,54.254.128.88	80,443	Tengine	80:正常访问
dushu.xiaomi.com	183.84.6.108,58.83.177.183	80		80:正常访问
job.xiaomi.com	58.83.160.155,58.83.160.156,58.83.160.153,58.83.160.154	80,443	MIWS	80:正常访问
a.union.xiaomi.com	203.100.93.110,203.100.93.109	80,443	-	80:(403) 已禁止
huodong.xiaomi.com	203.100.93.109,203.100.93.110	80,443	获取失败	80:-
chaxun.xiaomi.com	58.83.160.154,58.83.160.155,58.83.160.156,58.83.160.153	80,443	MIFE/3.0	80:正常访问
dev.xiaomi.com	161.117.71.156,161.117.71.158	80,443	-	80:(405) 不允许的方法
admin.migc.xiaomi.com	10.105.10.34	-	端口未开放	端口未开放
blog.xiaomi.com	42.62.94.123,42.62.94.122	-	端口未开放	端口未开放
bbs.xiaomi.com	42.62.94.122,42.62.94.123	-	端口未开放	端口未开放
bar.xiaomi.com	42.62.94.205	-	端口未开放	端口未开放
app.xiaomi.com	58.83.177.217,183.84.5.210	80,443	-	80:(405) 不允许的方法
hd02.lg.xiaomi.com	106.120.176.43,106.120.176.44,106.120.176.45,106.120.176.42	-	端口未开放	端口未开放
mipop.bbs.xiaomi.com	203.100.93.109,203.100.93.110	80,443	-	80:(403) 已禁止
mipop.xiaomi.com	203.100.93.110,203.100.93.109	80,443	-	80:(403) 已禁止
developer.xiaomi.com	161.117.71.156,161.117.71.158	80,443	-	80:(405) 不允许的方法
heyue.xiaomi.com	58.83.160.154,58.83.160.155,58.83.160.156,58.83.160.153	80,443	MIWS	80:正常访问
app.migc.xiaomi.com	120.92.24.141	443	Tengine	443:(403) 已禁止
