域名	解析IP	开放端口	WEB服务器	网站状态
360kan.56.com	36.110.234.24	80,443	nginx/1.9.15	80:正常访问
i.56.com	221.229.202.154	80,443	openresty/1.13.6.1	80:正常访问
v.56.com	221.230.143.101,221.230.143.58	80,443	ngx_openresty	80:正常访问
c5.56.com	125.88.156.189	-	端口未开放	端口未开放
r.56.com	211.151.181.211,211.151.181.203	-	端口未开放	端口未开放
2014.56.com	101.227.172.62	80,443	nginx	80:正常访问
www.56.com	14.18.240.22	80,443	openresty/1.13.6.1	80:正常访问
vv.56.com	180.153.21.48,180.153.21.49,180.153.21.47	-	端口未开放	端口未开放
mail.56.com	106.38.225.14	-	端口未开放	端口未开放
app.56.com	101.227.173.96	80,443	openresty/1.13.6.1	80:正常访问
msg.56.com	119.97.155.21,119.97.155.18,119.97.155.16,119.97.155.22,119.97.155.19,119.97.155.17,119.97.155.23	80,443	nginx/1.10.2	80:正常访问
my.56.com	101.227.172.62	80,443	openresty	80:正常访问
music.56.com	101.227.172.62	80,443	nginx	80:正常访问
video.56.com	101.227.172.11	80,443	nginx	80:正常访问
ads.56.com	58.246.165.77,180.153.21.77	-	端口未开放	端口未开放
pay.56.com	58.220.40.132,180.97.251.53,58.220.40.16,58.216.21.143	80,443	nginx	80:正常访问
about.56.com	101.227.172.62	80,443	openresty	80:正常访问
dev.56.com	101.227.173.96	80,443	openresty/1.13.6.1	80:正常访问
corpmail.56.com	14.17.117.166	-	端口未开放	端口未开放
games.56.com	101.227.172.62	80,443	nginx	80:正常访问
go.56.com	14.17.117.133,14.17.117.164	-	端口未开放	端口未开放
images.56.com	101.227.173.129,101.227.173.133	80	Tengine	80:正常访问
mp.56.com	14.18.240.77	80,443	nginx	80:正常访问
stat.56.com	180.153.21.49,180.153.21.48,180.153.21.47	-	端口未开放	端口未开放
c7.56.com	125.88.156.187	-	端口未开放	端口未开放
c8.56.com	125.88.156.187	-	端口未开放	端口未开放
v7.56.com	106.120.154.33,106.120.154.34	80,443	openresty	80:(403) 已禁止
c9.56.com	125.88.156.187	-	端口未开放	端口未开放
v9.56.com	125.88.156.130	-	端口未开放	端口未开放
wallet.56.com	101.227.172.62	80,443	-	80:(404) 未找到
school.56.com	101.227.172.62	80,443	nginx	80:正常访问
top.56.com	180.153.21.46	-	端口未开放	端口未开放
lady.56.com	101.227.172.62	80,443	nginx	80:正常访问
fashion.56.com	101.227.172.62	80,443	nginx	80:正常访问
his.56.com	14.18.240.77	80,443	nginx/0.8.54	80:正常访问
guess.56.com	180.153.21.171,180.153.25.93	80	httpd/1.00	80:正常访问
fed.56.com	14.17.116.164	-	端口未开放	端口未开放
api.m.56.com	101.227.173.139,101.227.173.138	80	Tengine	80:(403) 已禁止
baidu.56.com	115.239.210.38	80,443	apache	80:正常访问
c11.56.com	125.88.156.190	-	端口未开放	端口未开放
c163.56.com	125.88.156.233	-	端口未开放	端口未开放
c162.56.com	125.88.156.232	-	端口未开放	端口未开放
c58.56.com	14.17.117.154	-	端口未开放	端口未开放
hao123.56.com	180.97.36.72	80,443	bfe	80:(500) 内部服务器错误
ru.photo.56.com	14.17.117.138	-	端口未开放	端口未开放
test.m.56.com	180.153.21.156	-	端口未开放	端口未开放
test123.56.com	2.2.2.2	-	端口未开放	端口未开放
v19.56.com	106.120.154.33,106.120.154.34	80,443	openresty	80:(403) 已禁止
v16.56.com	106.120.154.33,106.120.154.34	80,443	openresty	80:(403) 已禁止
v15.56.com	106.120.154.34,106.120.154.33	80,443	openresty	80:(403) 已禁止
v21.56.com	106.120.154.33,106.120.154.34	80,443	openresty	80:(403) 已禁止
v17.56.com	106.120.154.33,106.120.154.34	80,443	openresty	80:(403) 已禁止
v41.56.com	106.120.154.33,106.120.154.34	80,443	openresty	80:(403) 已禁止
dv.56.com	101.227.172.62	80,443	nginx	80:正常访问
qf.56.com	222.218.87.133	80,443	nginx	80:正常访问
yx.56.com	101.227.172.62	80,443	nginx	80:正常访问
rb.56.com	180.153.21.148,180.153.21.135	443		443:正常访问
dnb.56.com	59.32.213.106	-	端口未开放	端口未开放
