域名	解析IP	开放端口	WEB服务器	网站状态
0--0--0.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
0000013599676103.i.sohu.com	14.18.240.22	80,443	nginx/1.10.2	80:正常访问
000000023.i.sohu.com	14.18.240.22	80,443	nginx/1.10.2	80:正常访问
000001000001.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
000008t.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
0000013599676103.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
000000123juaner.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
0000yl.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
000123k.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
000203t.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
0000000000001.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
000421.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
000831.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
000836.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
000852destiny.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
0007311234.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
000966t.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
000976.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
000china.t.sohu.com	220.181.69.34,220.181.69.33	80,443	nginx	80:正常访问
000doctor.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
000liuyuanjiang.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
000butterfly000.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
000wss000.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
000baiyang.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
0010559.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
0011446677.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
001670.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
001852.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
001968abc1223.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
00111aaa.blog.sohu.com	14.18.240.22	80,443	获取失败	80:-
0012345.blog.sohu.com	14.18.240.22	80,443	获取失败	80:-
001asdfg.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
001728kw.blog.sohu.com	14.18.240.22	80,443	获取失败	80:-
001wbj.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
001townn.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
001liwuzheng.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
001zhang.blog.sohu.com	14.18.240.22	80,443	nginx	80:正常访问
