域名	解析IP	开放端口	WEB服务器	网站状态
d.didi.cn	123.207.209.42,123.207.209.41	80,443	nginx/1.15.3	80:正常访问
z.didi.cn	116.85.2.5,116.85.2.4	80,443	-	80:(500) 内部服务器错误
x.didi.cn	116.85.2.4,116.85.2.5	80,443	router	80:(405) 不允许的方法
app.didi.cn	116.85.2.15,116.85.2.14	80,443		80:正常访问
h5.didi.cn	123.207.209.42,123.207.209.41	80,443	nginx/1.15.3	80:正常访问
webapp.didi.cn	116.85.2.14,116.85.2.15	80,443	router	80:正常访问
openvpn.didi.cn	189.163.17.5	-	端口未开放	端口未开放
openvpn.bjbgp.didi.cn	54.76.135.1	-	端口未开放	端口未开放
ub.didi.cn	123.207.209.42,123.207.209.41	80,443	nginx/1.6.2	80:正常访问
dpub.didi.cn	123.207.209.42,123.207.209.41	80,443	nginx/1.15.3	80:正常访问
