域名	解析IP	开放端口	WEB服务器	网站状态
static.xiaojukeji.com	195.27.31.253,195.27.31.225,195.27.31.213,195.27.31.223,195.27.31.224,195.27.31.226,195.27.31.222,195.27.31.221	80,443	Tengine	80:(403) 已禁止
www.xiaojukeji.com	123.207.209.16	80,443	-	80:(500) 内部服务器错误
daijia.xiaojukeji.com	114.80.187.101	80,443	Tengine	80:正常访问
es.xiaojukeji.com	123.207.209.55	80,443	Tengine/2.1.0	80:正常访问
job.xiaojukeji.com	116.85.3.14,116.85.3.15	80,443	nginx/1.10.2	80:正常访问
research.xiaojukeji.com	123.207.209.71	80	Apache-Coyote/1.1	80:正常访问
shangye.xiaojukeji.com	123.126.122.34,111.206.25.148,123.126.121.184	-	端口未开放	端口未开放
recommend.xiaojukeji.com	163.177.89.162,163.177.71.185	-	端口未开放	端口未开放
d.xiaojukeji.com	116.85.3.14,116.85.3.15	80,443	Apache-Coyote/1.1	80:正常访问
c.xiaojukeji.com	116.85.3.15,116.85.3.14	80,443	Tengine/2.1.0	80:(404) 未找到
campus.xiaojukeji.com	115.159.231.213	80,443	Tengine	80:(404) 未找到
g.xiaojukeji.com	163.177.89.162,163.177.71.185	-	端口未开放	端口未开放
e.xiaojukeji.com	163.177.71.185,163.177.89.162	-	端口未开放	端口未开放
m.xiaojukeji.com	163.177.71.185,163.177.89.162	-	端口未开放	端口未开放
wp.xiaojukeji.com	116.85.50.136	80,443	nginx/1.12.2	80:正常访问
help.xiaojukeji.com	116.85.3.9,116.85.3.8	80,443	nginx/1.6.2	80:正常访问
email.xiaojukeji.com	97.74.135.133,45.40.130.40,45.40.130.41,97.74.135.55,72.167.218.45,68.178.252.5,72.167.218.55,97.74.135.45,173.201.193.133,173.201.192.5,173.201.193.20,173.201.192.20,68.178.252.20,173.201.192.148,72.167.218.173,68.178.252.148,173.201.193.5,97.74.135.148,173.201.193.148,173.201.192.133,68.178.252.133,72.167.218.183	80,443	Apache	80:正常访问
as.xiaojukeji.com	116.85.3.15,116.85.3.14	80,443	Jetty(9.3.20.v20170531)	80:正常访问
app.xiaojukeji.com	116.85.2.14,116.85.2.15	80,443		80:正常访问
developer.xiaojukeji.com	116.85.2.14,116.85.2.15	80,443	nginx/1.6.2	80:正常访问
mall.xiaojukeji.com	163.177.89.162,163.177.71.185	-	端口未开放	端口未开放
api.xiaojukeji.com	123.207.209.41,123.207.209.42	80,443	Tengine	80:正常访问
page.xiaojukeji.com	183.57.82.230	80,443	Tengine	80:正常访问
group.xiaojukeji.com	116.85.0.3,116.85.0.4	80,443	router	80:(403) 已禁止
open.xiaojukeji.com	123.207.209.42,123.207.209.41	80,443	nginx/1.6.2	80:正常访问
msg.xiaojukeji.com	123.207.209.57,123.207.209.56	80,443	router	80:(404) 未找到
crm.xiaojukeji.com	123.126.122.34,111.206.25.148,123.126.121.184	-	端口未开放	端口未开放
