域名	解析IP	开放端口	WEB服务器	网站状态
a.ncfwx.com	59.63.227.68,116.211.79.15	80,443	Tengine	80:(404) 未找到
m.ncfwx.com	116.211.79.15,59.63.227.68	80,443	wxws	80:正常访问
www.ncfwx.com	116.211.79.15,59.63.227.68	80,443	Tengine	80:正常访问
api.ncfwx.com	116.211.79.15,59.63.227.68	80,443	Tengine	80:正常访问
static.ncfwx.com	222.186.145.187,222.186.145.188,61.147.226.161,115.231.22.125	80,443	nginx	80:(403) 已禁止
game.ncfwx.com	59.63.227.68,116.211.79.15	80,443	nginx/1.2.4	80:(404) 未找到
hr.ncfwx.com	59.63.227.68,116.211.79.15	80,443	nginx	80:正常访问
open.ncfwx.com	116.211.79.15,59.63.227.68	80,443	Tengine	80:正常访问
openapi.ncfwx.com	59.63.227.68,116.211.79.15	80,443	Tengine	80:正常访问
guanjia.ncfwx.com	59.63.227.68,116.211.79.15	80,443	nginx	80:(404) 未找到
stat.ncfwx.com	59.63.227.68,116.211.79.15	80,443	nginx	80:(403) 已禁止
assets.ncfwx.com	222.186.145.187,61.147.226.161,222.186.145.188,115.231.22.125	80,443	Tengine	80:(403) 已禁止
