域名	解析IP	开放端口	WEB服务器	网站状态
mail.mogujie.com	103.7.30.46	80,443		80:正常访问
api.mogujie.com	211.159.246.154	80,443	Tengine/2.1.2	80:正常访问
developer.mogujie.com	118.25.33.97	80,443	JuanniuX/15.12.29	80:正常访问
openapi.mogujie.com	211.159.246.176	80,443	JuanniuX/15.12.29	80:正常访问
develop.mogujie.com	118.25.33.97	80,443	JuanniuX/15.12.29	80:正常访问
dev1.mogujie.com	118.25.33.97	80,443	JuanniuX/15.12.29	80:正常访问
dev0.mogujie.com	118.25.33.97	80,443	JuanniuX/15.12.29	80:正常访问
device.mogujie.com	118.25.33.97	80,443	JuanniuX/15.12.29	80:正常访问
devel.mogujie.com	118.25.33.97	80,443	JuanniuX/15.12.29	80:正常访问
developers.mogujie.com	118.25.33.97	80,443	JuanniuX/15.12.29	80:正常访问
devsql.mogujie.com	118.25.33.97	80,443	JuanniuX/15.12.29	80:正常访问
imap.mogujie.com	163.177.72.143,163.177.90.125	80,443	nginx/1.8.1	80:(403) 已禁止
pop.mogujie.com	163.177.72.143,163.177.90.125	80,443	nginx/1.8.1	80:(403) 已禁止
smtp.mogujie.com	163.177.90.125,163.177.72.143	80,443	nginx/1.8.1	80:(403) 已禁止
m2.mogujie.com	221.228.199.44	-	端口未开放	端口未开放
m6.mogujie.com	221.228.199.67	-	端口未开放	端口未开放
m5.mogujie.com	221.228.199.66	-	端口未开放	端口未开放
m4.mogujie.com	221.228.199.57	-	端口未开放	端口未开放
m1.mogujie.com	221.228.199.44	-	端口未开放	端口未开放
m3.mogujie.com	221.228.199.53	-	端口未开放	端口未开放
webmail.mogujie.com	112.17.135.134	-	端口未开放	端口未开放
devil.mogujie.com	118.25.33.97	80,443	JuanniuX/15.12.29	80:正常访问
developed.mogujie.com	118.25.33.97	80,443	JuanniuX/15.12.29	80:正常访问
feeling.mogujie.com	112.17.135.132	-	端口未开放	端口未开放
developing.mogujie.com	118.25.33.97	80,443	JuanniuX/15.12.29	80:正常访问
devoted.mogujie.com	118.25.33.97	80,443	JuanniuX/15.12.29	80:正常访问
developments.mogujie.com	118.25.33.97	80,443	JuanniuX/15.12.29	80:正常访问
devise.mogujie.com	118.25.33.97	80,443	JuanniuX/15.12.29	80:正常访问
devote.mogujie.com	118.25.33.97	80,443	JuanniuX/15.12.29	80:正常访问
deviate.mogujie.com	118.25.33.97	80,443	JuanniuX/15.12.29	80:正常访问
dev-csss.mogujie.com	118.25.33.97	80,443	JuanniuX/15.12.29	80:正常访问
dev.static.mogujie.com	118.25.33.97	80,443	JuanniuX/15.12.29	80:(403) 已禁止
dev-db.mogujie.com	118.25.33.97	80,443	JuanniuX/15.12.29	80:正常访问
dev-wiki.mogujie.com	118.25.33.97	80,443	JuanniuX/15.12.29	80:正常访问
dev-admin.mogujie.com	118.25.33.97	80,443	JuanniuX/15.12.29	80:正常访问
devzone08.mogujie.com	118.25.33.97	80,443	JuanniuX/15.12.29	80:正常访问
devzone02.mogujie.com	118.25.33.97	80,443	JuanniuX/15.12.29	80:正常访问
devzone03.mogujie.com	118.25.33.97	80,443	JuanniuX/15.12.29	80:正常访问
devzone07.mogujie.com	118.25.33.97	80,443	JuanniuX/15.12.29	80:正常访问
devzone09.mogujie.com	118.25.33.97	80,443	JuanniuX/15.12.29	80:正常访问
devops.mogujie.com	118.25.33.97	80,443	JuanniuX/15.12.29	80:正常访问
