域名	解析IP	开放端口	WEB服务器	网站状态
3g.lenovo.com.cn	163.171.140.176	80,443	wswaf/2.8.0-10.el6	80:正常访问
c.lenovo.com.cn	58.220.70.6	80,443	wswaf/2.8.0-10.el6	80:(404) 未找到
click.lenovo.com.cn	42.159.123.65	80,443	nginx/1.6.0	80:正常访问
123.lenovo.com.cn	223.202.62.138	80	nginx/1.6.0	80:正常访问
app.lenovo.com.cn	223.202.25.165	80	Tengine/2.1.1	80:(405) 不允许的方法
cart.lenovo.com.cn	157.185.177.129	80	wswaf/2.8.0-10.el6	80:正常访问
appserver.lenovo.com.cn	58.220.70.6	80	wswaf/2.8.0-10.el6	80:正常访问
campus.lenovo.com.cn	139.217.22.157	80,443	获取失败	80:-
club.lenovo.com.cn	139.217.21.181	80,443	nginx/1.12.2	80:正常访问
driverdl.lenovo.com.cn	222.134.66.183,61.179.176.154,61.179.176.151,61.179.176.148,222.134.66.179,61.179.176.161,61.179.176.163,222.134.66.186,61.179.176.160,61.179.176.157	80,443	openresty	80:(404) 未找到
fans.lenovo.com.cn	139.217.21.181	80,443	nginx/1.12.2	80:正常访问
ec3.lenovo.com.cn	42.121.254.38	80	-	80:(503) 服务器不可用
csr.lenovo.com.cn	123.125.148.47	80	WWW Server/1.1	80:正常访问
hao.lenovo.com.cn	60.205.234.210	80,443		80:正常访问
doer.lenovo.com.cn	121.197.11.34	-	端口未开放	端口未开放
bbs.lenovo.com.cn	139.217.21.181	80,443	nginx/1.12.2	80:正常访问
epp.lenovo.com.cn	58.220.70.6	80,443	wswaf/2.8.0-10.el6	80:正常访问
e-learning.lenovo.com.cn	101.251.193.107	80,443	Apache	80:正常访问
edu.lenovo.com.cn	43.255.224.219	80	nginx/1.8.0	80:正常访问
home.lenovo.com.cn	123.57.205.155,123.57.227.207	-	端口未开放	端口未开放
horizon.lenovo.com.cn	202.85.217.66	-	端口未开放	端口未开放
lelink.lenovo.com.cn	120.27.185.145	80,443	nginx/1.4.5	80:正常访问
jiazhipc.lenovo.com.cn	103.10.85.223	80	nginx	80:正常访问
lexue.lenovo.com.cn	121.40.47.74	80,443	获取失败	80:-
order.lenovo.com.cn	58.220.70.6	80,443	wswaf/2.8.0-10.el6	80:(404) 未找到
mall.club.lenovo.com.cn	42.159.28.67	80,443	nginx/1.12.2	80:正常访问
ideaservice.lenovo.com.cn	119.233.254.9,59.61.88.218	80	Microsoft-IIS/7.5	80:正常访问
reg.lenovo.com.cn	58.220.70.6	80,443	wswaf/2.8.0-10.el6	80:(404) 未找到
s.lenovo.com.cn	58.220.70.6	80,443	wswaf/2.8.0-10.el6	80:正常访问
m.shopt.lenovo.com.cn	123.127.211.246,219.142.122.246	-	端口未开放	端口未开放
saas.lenovo.com.cn	101.201.169.180	80,443		80:正常访问
search.lenovo.com.cn	58.220.70.6	80,443	获取失败	80:-
rs.lenovo.com.cn	223.203.218.102	80,443	nginx/1.15.2	80:正常访问
i.lenovo.com.cn	58.220.70.6	80,443	wswaf/2.8.0-10.el6	80:正常访问
servicekbuat.lenovo.com.cn	219.142.122.171	80	Microsoft-IIS/7.5	80:(403) 已禁止
pic.shop.lenovo.com.cn	163.171.133.124	80,443	获取失败	80:-
ms.lenovo.com.cn	123.125.148.46	80,443	nginx	80:正常访问
shop.lenovo.com.cn	58.220.70.6	80,443	wswaf/2.8.0-10.el6	80:正常访问
support1.lenovo.com.cn	180.149.155.32,180.149.155.41,180.149.155.37,180.149.155.39,180.149.155.35,180.149.155.36,180.149.155.40,180.149.155.38	80,443	Tengine	80:正常访问
staff.lenovo.com.cn	139.217.10.9	80,443	获取失败	80:-
thinkpad.lenovo.com.cn	58.220.70.6	80,443	wswaf/2.7.1-0.el6	80:正常访问
techworld.lenovo.com.cn	47.104.233.131	80	nginx	80:正常访问
support.lenovo.com.cn	122.72.89.205,122.72.89.206,122.72.89.207,122.72.89.208,122.72.89.231,122.72.89.203,122.72.89.204	443	Tengine	443:正常访问
thinkbbs.lenovo.com.cn	139.217.21.181	80,443	nginx/1.12.2	80:正常访问
thinkstationbp.lenovo.com.cn	210.51.191.28	-	端口未开放	端口未开放
