域名	解析IP	开放端口	WEB服务器	网站状态
007.qq.com	183.3.233.192	80,443	nginx/1.12.2	80:正常访问
02opera.wap.3g.qq.com	163.177.73.178,163.177.73.162,163.177.73.175,163.177.73.176	80,443	nginx	80:正常访问
0.3g.qq.com	163.177.73.176,163.177.73.178,163.177.73.162,163.177.73.175	80,443	nginx	80:正常访问
0.9.6www.exp.dl.7.qq.com	119.147.227.113,119.147.33.87,119.147.83.73,113.96.156.226,125.94.49.68,27.45.166.55,27.45.166.16,119.147.33.49,119.147.227.100	80,443	NWS_X2_MID	80:(404) 未找到
1.3.kf.3g.qq.com	163.177.73.175,163.177.73.176,163.177.73.178,163.177.73.162	80,443	nginx	80:正常访问
1.3g.qq.com	163.177.73.176,163.177.73.178,163.177.73.162,163.177.73.175	80,443	nginx	80:正常访问
1.cdn.dl.7.qq.com	27.45.166.55,27.45.166.16,119.147.33.49,119.147.227.100,119.147.227.113,119.147.33.87,119.147.83.73,113.96.156.226,125.94.49.68	80,443	NWS_X2_MID	80:(404) 未找到
0www.90pao.cn988jj.concdn.dl.7.qq.com	119.147.33.87,119.147.83.73,113.96.156.226,125.94.49.68,27.45.166.55,27.45.166.16,119.147.33.49,119.147.227.100,119.147.227.113	80,443	NWS_X2_MID	80:(404) 未找到
1.qq.com	101.89.15.139	80,443	nginx	80:正常访问
1.6.6rc.qzone.qq.com	125.39.83.119	80,443	QZHTTP-2.38.18	80:正常访问
1.qqdnf.qzone.qq.com	125.39.83.119	80,443	QZHTTP-2.38.18	80:正常访问
100.zg.qq.com	27.45.166.55,27.45.166.16,119.147.33.49,119.147.227.100,119.147.227.113,119.147.33.87,119.147.83.73,113.96.156.226,125.94.49.68	80,443	NWS_X2_MID	80:(404) 未找到
007.gamebbs.qq.com	58.247.214.105	80,443	nginx	80:正常访问
100000956.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
100000028.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
100006901.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
100009935.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
100006289.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
100006811.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
100010958.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
10001.qzone.qq.com	125.39.83.119	80,443	QZHTTP-2.38.18	80:正常访问
100016318.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
10004244.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
10005054.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
10003781.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
100064222.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
10.buy.qq.com	140.206.166.139,140.206.166.140	-	端口未开放	端口未开放
100060212.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
100065474.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
100068708.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
100079188.114.qq.com	183.232.94.102	80,443	openresty	80:正常访问
100001650.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
100080487.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
100080028.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
100082933.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
100080681.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
100084523.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
10009292.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
100079188.qzone.qq.com	125.39.83.119	80,443	QZHTTP-2.38.18	80:正常访问
10010721.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
10011587.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
10012017.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
10012282.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
100183154.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002013972.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
100192821.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002014826.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002014699.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002016504.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002016814.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002018736.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002018287.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002102854.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002157199.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002153022.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002159127.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002158712.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:(500) 内部服务器错误
1002177396.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002180177.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002182471.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002181568.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002180530.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002183001.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002184135.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002183481.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002185032.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002187030.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002185204.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002187222.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002188263.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002187413.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
10022207.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
10022104.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002190543.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002352.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002387233.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002386216.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002388542.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002390824.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002390321.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002395010.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002404851.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002405290.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002396806.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002476244.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
10024942.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002775849.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
10026865.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002775997.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002778243.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002778687.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002784130.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002974687.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002974079.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
100279888.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002975519.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002981148.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002981935.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002982203.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003125907.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1002983976.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
0km.qq.com	180.163.26.39	80	获取失败	80:-
1003127046.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003127857.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003131342.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003128103.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003128986.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:(500) 内部服务器错误
1003133626.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003130817.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003134973.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003133394.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003134998.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003137657.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003135791.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003137292.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003138363.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003142652.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003138459.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003139851.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003174451.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
100322125.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003345000.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
10033319.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003344474.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003349554.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003348069.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003351140.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003349240.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003350501.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003351375.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003356091.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
10033616.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003371832.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
10033588.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003372426.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003374322.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003373123.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003376968.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003375119.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003571809.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003391175.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
10035611.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003572207.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003572734.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003581854.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
10037745.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003582361.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003782682.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003782496.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003782917.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003980534.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003572336.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1004000922.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1004184451.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003989904.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1003982089.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:(500) 内部服务器错误
1004380144.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1004575580.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1004571855.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1004579075.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1004390091.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1004579295.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1004586305.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1004586671.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1004585975.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1004586960.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1004774116.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1004779927.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1004781597.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1004775914.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1004780730.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1004986803.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1004984509.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1005114.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1005186535.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1005392753.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1005190605.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
10054464.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1005386992.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1005197961.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1005580082.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1005584456.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1005590385.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1005587930.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1005589277.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1005589045.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1005593445.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1005591498.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1005592171.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1005592229.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1005596713.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1005593613.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1005782323.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1005790039.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
100581617.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
100583084.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
100579892.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
100586039.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
100580255.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:(500) 内部服务器错误
1006128.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
10061027.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1006188485.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1006332309.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1006331187.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1006332408.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1006336563.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
10064483.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1006487445.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
10065779.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
10065139.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1006646737.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1006646886.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1006646768.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1006648644.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1006647039.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1006647975.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1006649803.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1006653017.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1006649518.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1006651665.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1006722580.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1006848242.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
10068017.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1006923.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1006980447.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1006978090.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1006785800.qzone.qq.com1006785800.qzone.qq.com	125.39.83.119	80,443	QZHTTP-2.38.18	80:正常访问
1006989905.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1006980463.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1006986485.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1006990247.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1006990315.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1006996128.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1006997367.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1006996175.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
100705636.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1007174027.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1006999683.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1007179239.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1007179583.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1007180103.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1007180881.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
1007184815.photo.qq.com	183.61.46.186	80	QZHTTP-2.38.39	80:正常访问
