域名	解析IP	开放端口	WEB服务器	网站状态
bk.tencent.com	183.60.118.220	80,443	nginx	80:正常访问
campus.tencent.com	113.96.98.113,113.96.98.37,61.140.13.228,113.96.98.38	80,443	NWS_SPMid	80:(404) 未找到
3g.tencent.com	163.177.73.175,163.177.73.176,163.177.73.178,163.177.73.162	80,443	nginx	80:正常访问
8000.tencent.com	120.198.199.152	80,443	获取失败	80:-
cd.tencent.com	183.232.95.57	80,443	Apache	80:正常访问
career.tencent.com	183.232.93.167	80,443	nginx/1.10.2	80:正常访问
code.tencent.com	58.251.81.26	80,443	nginx	80:正常访问
bqq.tencent.com	183.57.48.35	80,443	nginx/1.8.1	80:正常访问
flashteam.tencent.com	0.0.0.1	-	端口未开放	端口未开放
cdc.tencent.com	14.17.41.228	80,443	nginx	80:正常访问
help.tencent.com	14.17.41.156,14.17.42.16	80,443	Tencent Login Server/2.0.0	80:(403) 已禁止
careers.tencent.com	183.232.93.167	80,443	nginx/1.10.2	80:正常访问
corp.tencent.com	222.218.81.118,113.96.156.217,59.63.235.57,218.75.176.145	80,443	NWS_SSD_MID	80:(404) 未找到
hrc.tencent.com	183.3.226.51	80,443	获取失败	80:-
hr.tencent.com	183.232.93.167	80,443	nginx/1.10.2	80:正常访问
ieg.tencent.com	163.177.71.182	80,443	Apache/2.2.15 (CentOS)	80:正常访问
image.tencent.com	0.0.0.1	-	端口未开放	端口未开放
hrsdc.tencent.com	0.0.0.1	-	端口未开放	端口未开放
intern.tencent.com	0.0.0.1	-	端口未开放	端口未开放
isd.tencent.com	0.0.0.1	-	端口未开放	端口未开放
isux.tencent.com	139.199.62.32	80,443	nginx/1.6.3	80:正常访问
job.tencent.com	183.232.93.167	80,443	nginx/1.10.2	80:正常访问
jobs.tencent.com	183.232.93.167	80,443	nginx/1.10.2	80:正常访问
isp.tencent.com	14.17.34.113	80,443	Apache/2.4.3 (Unix) PHP/5.4.6 OpenSSL/1.0.0g	80:正常访问
mdc.tencent.com	101.226.86.182,61.151.217.46	80,443	nginx	80:正常访问
m.code.tencent.com	58.251.81.26	80,443		80:正常访问
esales.tencent.com	14.17.32.248	80	Apache/2.0.53 (Unix) PHP/5.3.2	80:(403) 已禁止
mt.tencent.com	61.151.217.46,101.226.86.182	80,443	获取失败	80:-
oms.tencent.com	0.0.0.1	-	端口未开放	端口未开放
ecd.tencent.com	127.0.0.1	-	端口未开放	端口未开放
ptlogin2.tencent.com	14.17.41.213	80,443	Tencent Login Server/2.0.0	80:(403) 已禁止
rtx.tencent.com	183.57.48.35	80,443	nginx/1.8.1	80:正常访问
rfq.tencent.com	14.17.34.113	80,443	Apache/2.4.3 (Unix) PHP/5.4.6 OpenSSL/1.0.0g	80:正常访问
recruiting.tencent.com	183.232.93.167	80,443	nginx/1.10.2	80:正常访问
security.tencent.com	183.61.51.186	80,443	nginx	80:正常访问
service.tencent.com	0.0.0.1	-	端口未开放	端口未开放
tengyun.tencent.com	183.57.53.112	80,443	nginx	80:正常访问
