域名	解析IP	开放端口	WEB服务器	网站状态
act.suning.com	219.147.94.109	80,443	styx	80:正常访问
ad.suning.com	58.240.60.6	80,443	nginx	80:正常访问
ap.suning.com	58.240.60.6	80,443	nginx	80:正常访问
assss.suning.com	219.147.94.109	80,443	styx	80:(403) 已禁止
aq.suning.com	219.147.94.109	80,443	styx	80:正常访问
ai.suning.com	103.255.94.183	80	nginx	80:正常访问
b2g.suning.com	153.3.66.5	80,443	styx	80:正常访问
binggo.suning.com	219.147.94.109	80,443	styx	80:(405) 不允许的方法
bbs.suning.com	202.173.11.233	80	SNREVIEW	80:正常访问
8.suning.com	153.3.66.23	80,443	获取失败	80:-
bingo.suning.com	202.173.11.233	80		80:正常访问
cs.suning.com	101.125.2.142	80,443	styx	80:正常访问
c.m.suning.com	219.147.94.109	80,443	获取失败	80:-
creditpay.suning.com	58.213.19.81	-	端口未开放	端口未开放
caipiao.suning.com	222.190.112.67	80,443	获取失败	80:-
eds.suning.com	219.147.94.109	80,443	styx	80:正常访问
city.suning.com	219.147.94.109	80,443	获取失败	80:-
chaoshi.suning.com	219.147.94.109	80,443	styx	80:(405) 不允许的方法
dianqi.suning.com	219.147.94.109	80,443	获取失败	80:-
fashion.suning.com	219.147.94.109	80,443	styx	80:(405) 不允许的方法
g.m.suning.com	219.147.94.109	80,443	获取失败	80:-
favorite.suning.com	219.147.94.109	80,443	styx	80:正常访问
g.suning.com	219.147.94.109	80,443	获取失败	80:-
gps.suning.com	222.190.106.44	-	端口未开放	端口未开放
help.suning.com	219.147.94.109	80,443	获取失败	80:-
m.suning.com	219.147.94.109	80,443	styx	80:正常访问
www.suning.com	219.147.94.109	80,443	styx	80:正常访问
cuxiao.suning.com	219.147.94.109	80,443	获取失败	80:-
mail.suning.com	58.240.86.229	80	Apache-Coyote/1.1	80:正常访问
feed.suning.com	101.125.1.109	80,443	nginx	80:正常访问
faq.suning.com	219.147.94.109	80,443	styx	80:(405) 不允许的方法
open.suning.com	219.147.94.109	80,443	获取失败	80:-
shop.suning.com	219.147.94.109	80,443	获取失败	80:-
web.suning.com	103.255.95.39	-	端口未开放	端口未开放
vip.suning.com	219.147.94.109	80,443	获取失败	80:-
push.suning.com	163.171.128.104,163.171.131.89	80,443	获取失败	80:-
product.suning.com	219.147.94.109	80,443	获取失败	80:-
video.suning.com	219.147.94.109	80,443	获取失败	80:-
msg.suning.com	219.147.94.109	80,443	获取失败	80:-
new.suning.com	219.147.94.109	80,443	获取失败	80:-
payment.suning.com	218.94.133.29	80,443	styx	80:正常访问
as.suning.com	219.147.94.109	80,443	获取失败	80:-
search.suning.com	219.147.94.109	80,443	获取失败	80:-
lib.suning.com	219.147.94.109	80,443	获取失败	80:-
passport.suning.com	219.147.94.109	80,443	获取失败	80:-
lib1.suning.com	185.232.59.55	80,443	获取失败	80:-
cg.suning.com	103.255.92.149	80	nginx	80:正常访问
my.suning.com	219.147.94.109	80,443	获取失败	80:-
shouji.suning.com	219.147.94.109	80,443	获取失败	80:-
cm.suning.com	218.2.112.238	-	端口未开放	端口未开放
es.suning.com	103.255.93.250	80	Apache	80:正常访问
gd.suning.com	58.213.19.219	80	nginx	80:正常访问
lucky.suning.com	219.147.94.109	80,443	获取失败	80:-
ec.suning.com	219.147.94.109	80,443	获取失败	80:-
pay.suning.com	58.213.14.5	80,443	获取失败	80:-
mp.suning.com	219.147.94.109	80,443	获取失败	80:-
md.suning.com	112.80.230.162	-	端口未开放	端口未开放
ns1.suning.com	180.101.224.248	-	端口未开放	端口未开放
ns2.suning.com	61.147.180.28	-	端口未开放	端口未开放
pop.suning.com	58.213.19.39	80	nginx	80:正常访问
pluto.suning.com	101.125.5.7	80	nginx/1.6.0	80:正常访问
reg.suning.com	219.147.94.109	80,443	获取失败	80:-
qa.suning.com	103.255.93.166	80	styx	80:正常访问
support.suning.com	58.240.86.163	-	端口未开放	端口未开放
smc.suning.com	219.147.94.109	80,443	获取失败	80:-
tg.suning.com	219.147.94.109	80,443	获取失败	80:-
th.suning.com	219.147.94.109	80,443	获取失败	80:-
wifi.suning.com	103.255.93.146	80,443	styx	80:正常访问
voip.suning.com	218.94.91.209	-	端口未开放	端口未开放
she.suning.com	222.190.106.5	80,443	nginx	80:正常访问
mis.suning.com	219.147.94.109	80,443	获取失败	80:-
school.suning.com	58.240.86.184	80	styx	80:(403) 已禁止
let.suning.com	219.147.94.109	80,443	获取失败	80:-
order.suning.com	219.147.94.109	80,443	获取失败	80:-
origin.suning.com	101.125.2.36	80,443	styx	80:(405) 不允许的方法
sale.suning.com	219.147.94.109	80,443	获取失败	80:-
shopping.suning.com	219.147.94.109	80,443	获取失败	80:-
capital.suning.com	222.190.106.15	80,443	styx	80:正常访问
mass.suning.com	219.147.94.109	80,443	获取失败	80:-
arm.suning.com	58.240.86.194	80,443	styx	80:正常访问
fast.suning.com	219.147.94.109	80,443	获取失败	80:-
trade.suning.com	219.147.94.109	80,443	获取失败	80:-
review.suning.com	219.147.94.109	80,443	获取失败	80:-
loan.suning.com	101.125.1.175	80,443	styx	80:(403) 已禁止
rent.suning.com	219.147.94.109	80,443	获取失败	80:-
list.suning.com	219.147.94.109	80,443	获取失败	80:-
pin.suning.com	219.147.94.109	80,443	获取失败	80:-
basic.suning.com	219.147.94.109	80,443	获取失败	80:-
mrs.suning.com	219.147.94.109	80,443	获取失败	80:-
live.suning.com	58.58.112.52,58.58.112.53	80,443	获取失败	80:-
sports.suning.com	219.147.94.109	80,443	获取失败	80:-
em.suning.com	219.147.94.109	80,443	获取失败	80:-
asset.suning.com	222.190.150.44	80,443	styx	80:(403) 已禁止
withdraw.suning.com	222.190.106.19	80,443	styx	80:正常访问
trace.suning.com	101.125.2.42	80,443	styx	80:正常访问
contacts.suning.com	103.255.92.192	80,443	nginx	80:正常访问
smart.suning.com	101.125.1.17	80,443	nginx	80:正常访问
a16.suning.com	116.53.51.84,101.206.201.35	80,443	styx	80:(403) 已禁止
api.m.suning.com	219.147.94.109	80,443	styx	80:正常访问
baili.web.suning.com	103.255.95.39	-	端口未开放	端口未开放
bailiwanggou.web.suning.com	103.255.95.39	-	端口未开放	端口未开放
bestchange.web.suning.com	103.255.95.39	-	端口未开放	端口未开放
blcx.web.suning.com	103.255.95.39	-	端口未开放	端口未开放
c2c.suning.com	58.213.19.149	80	nginx	80:正常访问
cesc.suning.com	101.125.1.190	80,443	styx	80:正常访问
cs.web.suning.com	103.255.95.39	-	端口未开放	端口未开放
dhhz.web.suning.com	103.255.95.39	-	端口未开放	端口未开放
fang.suning.com	219.147.94.109	80,443	获取失败	80:-
guang.suning.com	219.147.94.109	80,443	styx	80:(405) 不允许的方法
huanan.suning.com	101.125.1.184	-	端口未开放	端口未开放
kj1207100001.web.suning.com	103.255.95.39	-	端口未开放	端口未开放
kxsg.web.suning.com	103.255.95.39	-	端口未开放	端口未开放
meizhuang.suning.com	202.173.11.233	80		80:正常访问
myip.suning.com	219.147.94.109	80,443	styx	80:(404) 未找到
mpay.suning.com	58.213.14.12	80	styx	80:正常访问
pindao.suning.com	219.147.94.109	80,443	styx	80:正常访问
