域名	解析IP	开放端口	WEB服务器	网站状态
apm.suning.cn	36.152.19.188	80,443	获取失败	80:-
b2b.suning.cn	58.240.47.176	80,443	styx	80:正常访问
image4.suning.cn	163.171.130.132	80,443	styx	80:正常访问
res.suning.cn	219.147.94.109	80,443	styx	80:正常访问
script.suning.cn	219.147.94.109	80,443	openresty/1.5.8.1	80:正常访问
img.suning.cn	163.171.130.132	-	端口未开放	端口未开放
image2.suning.cn	163.171.130.132	-	端口未开放	端口未开放
bbs.suning.cn	58.240.47.186	-	端口未开放	端口未开放
css.suning.cn	163.171.130.132	-	端口未开放	端口未开放
careers.suning.cn	163.171.130.132	-	端口未开放	端口未开放
t.suning.cn	219.147.94.109	80,443	styx	80:(405) 不允许的方法
yp.suning.cn	163.171.130.132	80,443	nginx/1.6.0	80:正常访问
app.suning.cn	185.232.59.55	80,443	marco/2.7	80:正常访问
static.suning.cn	163.171.130.132	80,443	styx	80:(403) 已禁止
image.suning.cn	163.171.130.132	80,443	获取失败	80:-
image3.suning.cn	163.171.130.132	80	获取失败	80:-
get.suning.cn	211.157.122.200	-	端口未开放	端口未开放
www.suning.cn	163.171.130.132	80,443	获取失败	80:-
search.suning.cn	221.226.0.50	-	端口未开放	端口未开放
mail.suning.cn	58.240.86.230,58.240.86.231,58.240.86.212,58.240.86.213,58.240.86.214,58.240.86.215,58.240.86.216,58.240.86.217,58.240.86.218,58.240.86.219,58.240.86.220,58.240.86.221,58.240.86.222,58.240.86.223,58.240.86.224,58.240.86.225,58.240.86.226,58.240.86.227,58.240.86.228,58.240.86.229	80	Apache-Coyote/1.1	80:正常访问
pm.suning.cn	163.171.130.132	80,443	获取失败	80:-
click.suning.cn	163.171.130.132	80,443	获取失败	80:-
file.suning.cn	163.171.130.132	80,443	获取失败	80:-
sa.suning.cn	163.171.130.132	80,443	nginx/1.6.3	80:正常访问
code.suning.cn	163.171.130.132	80,443	获取失败	80:-
send.suning.cn	211.157.122.200	-	端口未开放	端口未开放
school.suning.cn	58.240.86.184	80	获取失败	80:-
special.suning.cn	163.171.130.132	80,443	获取失败	80:-
capital.suning.cn	163.171.130.132	80,443	获取失败	80:-
competition.suning.cn	163.171.130.132	80,443	获取失败	80:-
promotion.suning.cn	163.171.130.132	80,443	获取失败	80:-
campus.suning.cn	163.171.130.132	80,443	获取失败	80:-
res1.suning.cn	163.171.130.132	80,443	获取失败	80:-
weixin.suning.cn	103.255.95.43	80	-	80:(404) 未找到
ds.suning.cn	219.147.94.109	80,443	styx	80:正常访问
edm.suning.cn	58.240.86.130	-	端口未开放	端口未开放
lc1.suning.cn	218.94.96.82	-	端口未开放	端口未开放
lc2.suning.cn	101.125.0.186	-	端口未开放	端口未开放
lc3.suning.cn	112.4.157.98	-	端口未开放	端口未开放
cqes.suning.cn	58.240.86.69	80,443	styx	80:正常访问
lbfa.suning.cn	101.125.0.194	80,443	styx	80:正常访问
oimg.suning.cn	163.171.130.132	80,443	styx	80:(403) 已禁止
sres.suning.cn	163.171.130.132	80,443	获取失败	80:-
image1.suning.cn	163.171.130.132	443	获取失败	443:-
image5.suning.cn	163.171.130.132	80,443	获取失败	80:-
