域名	解析IP	开放端口	WEB服务器	网站状态
newconnection.cainiao.com	61.155.222.102,222.186.140.213,61.155.221.228,222.186.140.212,61.155.221.227,61.155.222.103,180.101.150.24,180.101.150.23	80,443	Tengine	80:(404) 未找到
alliance.cainiao.com	180.101.150.23,61.155.222.102,222.186.140.212,61.155.221.227,180.101.150.24,61.155.222.103,222.186.140.213,61.155.221.228	80,443	Tengine	80:正常访问
global.cainiao.com	203.119.207.250	80,443	Tengine/Aserver	80:正常访问
www.cainiao.com	180.101.150.23,180.101.150.24,61.155.222.102,61.155.222.103,222.186.140.213,61.155.221.228,222.186.140.212,61.155.221.227	80,443	Tengine	80:正常访问
cloud.cainiao.com	140.205.61.87,106.11.248.2,106.11.61.141,140.205.248.8	80,443	Tengine/Aserver	80:正常访问
c.cainiao.com	203.119.214.125	80,443	Tengine/Aserver	80:正常访问
yz.cainiao.com	203.119.244.124	80,443	Tengine/Aserver	80:正常访问
a.cainiao.com	203.119.207.250	80,443	Tengine/Aserver	80:正常访问
i.cainiao.com	203.119.207.250	80,443	Tengine/Aserver	80:正常访问
d.cainiao.com	203.119.207.250	80,443	Tengine	80:正常访问
c5.cainiao.com	203.119.207.250	80,443	Tengine	80:正常访问
z.cainiao.com	203.119.213.2	80,443	Tengine/Aserver	80:正常访问
mail.cainiao.com	42.156.140.97	80,443	Tengine	80:正常访问
g.cainiao.com	106.11.209.173	-	端口未开放	端口未开放
page.cainiao.com	117.91.179.229,117.91.179.222,61.160.204.117,117.91.179.224,117.91.179.228,117.91.179.223	80,443	Tengine	80:正常访问
o.cainiao.com	106.11.209.173	-	端口未开放	端口未开放
database.cainiao.com	203.119.207.250	80,443	Tengine/Aserver	80:正常访问
pass.cainiao.com	203.119.207.250	80,443	Tengine/Aserver	80:(404) 未找到
login.cainiao.com	203.119.244.125	80,443	Tengine/Aserver	80:正常访问
admin.cainiao.com	203.119.214.125	80,443	Tengine/Aserver	80:正常访问
post.cainiao.com	203.119.207.250	80,443	Tengine/Aserver	80:正常访问
flash.cainiao.com	203.119.207.250	80,443	Tengine/Aserver	80:正常访问
svn.cainiao.com	203.119.214.125	80,443	Tengine/Aserver	80:正常访问
sec.cainiao.com	203.119.207.250	80,443	Tengine/Aserver	80:正常访问
agent.cainiao.com	203.119.214.125	80,443	Tengine/Aserver	80:正常访问
console.cainiao.com	203.119.207.250	80,443	Tengine/Aserver	80:正常访问
webadmin.cainiao.com	203.119.214.125	80,443	Tengine/Aserver	80:正常访问
lv.cainiao.com	106.11.61.141,140.205.248.8,140.205.61.87,106.11.248.2	80,443	获取失败	80:-
data.cainiao.com	203.119.207.250	80,443	Tengine	80:正常访问
gg.cainiao.com	140.205.248.8,140.205.61.87,106.11.248.2,106.11.61.141	80,443	Tengine/Aserver	80:(404) 未找到
dt.cainiao.com	11.128.111.43	-	端口未开放	端口未开放
il.cainiao.com	127.0.0.1	-	端口未开放	端口未开放
ldap.cainiao.com	203.119.207.250	80,443	Tengine/Aserver	80:正常访问
imap.cainiao.com	140.205.121.207	-	端口未开放	端口未开放
link.cainiao.com	203.119.217.88	80	Tengine	80:正常访问
b2b.cainiao.com	106.11.248.2,140.205.61.87,140.205.248.8,106.11.61.141	80,443	获取失败	80:-
office.cainiao.com	47.110.178.49	80,443	AliyunOSS	80:(403) 已禁止
se.cainiao.com	203.119.207.250	80,443	Tengine	80:正常访问
site.cainiao.com	203.119.207.250	80,443	Tengine	80:正常访问
supplier.cainiao.com	106.11.61.141,106.11.248.2,140.205.61.87,140.205.248.8	80,443	Tengine	80:正常访问
pop3.cainiao.com	140.205.121.207	-	端口未开放	端口未开放
smtp.cainiao.com	140.205.121.207	-	端口未开放	端口未开放
56.cainiao.com	203.119.207.250	80,443	Tengine/Aserver	80:正常访问
td.cainiao.com	203.119.205.247	80,443	Tengine/Aserver	80:正常访问
terminal.cainiao.com	203.119.205.247	80,443	Tengine	80:正常访问
ws.cainiao.com	203.119.205.247	80,443	Tengine	80:正常访问
rs.cainiao.com	140.205.248.8,106.11.248.2,140.205.61.87,106.11.61.141	80,443	获取失败	80:-
learn.cainiao.com	203.119.214.125	80,443	Tengine/Aserver	80:正常访问
park.cainiao.com	203.119.214.125	80,443	Tengine/Aserver	80:正常访问
fly.cainiao.com	203.119.215.106	80,443	Tengine/Aserver	80:正常访问
model.cainiao.com	106.11.209.173	-	端口未开放	端口未开放
was.cainiao.com	203.119.214.125	80,443	Tengine/Aserver	80:正常访问
finance.cainiao.com	203.119.207.250	80,443	Tengine/Aserver	80:正常访问
label.cainiao.com	203.119.205.247	80,443	Tengine	80:正常访问
api.m.cainiao.com	203.119.205.252	80,443	Tengine/Aserver	80:(403) 已禁止
assets.cainiao.com	203.119.216.164,203.119.129.44,203.119.214.33,203.119.205.59	80,443	Tengine	80:正常访问
brand.cainiao.com	115.231.228.222,115.231.228.217,115.231.228.219,115.231.228.215,115.231.228.216,115.231.228.221,115.231.228.220,115.231.228.218	80,443	Tengine	80:正常访问
dipan.cainiao.com	203.119.205.247	80,443	Tengine/Aserver	80:正常访问
fuwu.cainiao.com	203.119.205.247	80,443	Tengine/Aserver	80:正常访问
cwms.cainiao.com	121.199.174.9	-	端口未开放	端口未开放
nagios.cainiao.com	203.119.214.123	80,443	Tengine/Aserver	80:正常访问
rsync.cainiao.com	203.119.205.247	80,443	Tengine/Aserver	80:正常访问
vendor.cainiao.com	203.119.205.247	80,443	Tengine/Aserver	80:正常访问
xiaoyuan.cainiao.com	61.155.222.102,61.155.221.227,222.186.140.213,222.186.140.212,180.101.150.23,180.101.150.24,61.155.221.228,61.155.222.103	80,443	Tengine	80:正常访问
zs.cainiao.com	203.119.205.247	80,443	Tengine/Aserver	80:正常访问
cie.cainiao.com	203.119.244.125	80,443	Tengine/Aserver	80:正常访问
cds.cainiao.com	203.119.207.250	80,443	Tengine/Aserver	80:正常访问
cps.cainiao.com	203.119.205.247	80,443	Tengine/Aserver	80:正常访问
bms.cainiao.com	47.88.132.61	80,443	Tengine/Aserver	80:正常访问
dms.cainiao.com	203.119.244.125	80,443	Tengine/Aserver	80:正常访问
dmp.cainiao.com	203.119.207.250	80,443	Tengine/Aserver	80:正常访问
dp.cainiao.com	100.67.31.128	-	端口未开放	端口未开放
gos.cainiao.com	203.119.215.106	80,443	Tengine/Aserver	80:正常访问
