域名	解析IP	开放端口	WEB服务器	网站状态
liehu.cmcm.com	193.112.227.243	80,443	nginx	80:正常访问
www.cmcm.com	218.92.138.16,218.92.138.12,218.92.138.19,218.92.138.14,218.92.138.18,218.92.138.11,218.92.138.20,218.92.138.13,218.92.138.15,218.92.138.17	80,443	Tengine	80:正常访问
ad.cmcm.com	218.92.138.15,218.92.138.20,218.92.138.18,218.92.138.14,218.92.138.11,218.92.138.12,218.92.138.13,218.92.138.19,218.92.138.16,218.92.138.17	80,443	获取失败	80:-
fsteam.cmcm.com	58.87.102.107	80	kws	80:正常访问
ab.cmcm.com	111.231.47.97	80	nginx/1.13.5	80:正常访问
ir.cmcm.com	104.17.206.159,104.17.205.159,104.17.204.159,104.17.203.159,104.17.202.159	80,443	cloudflare	80:正常访问
dev.cmcm.com	114.112.93.10	-	端口未开放	端口未开放
v.cmcm.com	140.143.48.210	80,443	openresty	80:正常访问
l.cmcm.com	54.192.75.72,54.192.75.147,54.192.75.56,54.192.75.157	80,443	Tengine	80:正常访问
op.cmcm.com	211.159.145.189	-	端口未开放	端口未开放
news.cmcm.com	23.209.10.200	80,443	-	80:(503) 服务器不可用
mail.cmcm.com	202.66.35.248,103.69.155.98	-	端口未开放	端口未开放
erp.cmcm.com	118.89.45.99	-	端口未开放	端口未开放
static.cmcm.com	140.143.116.233	80	Tengine	80:(403) 已禁止
forum1.cmcm.com	114.242.208.142	80,443	nginx	80:正常访问
hr.cmcm.com	60.28.207.87	80,443	Microsoft-IIS/7.5	80:正常访问
bbs.cmcm.com	58.87.83.51	80	nginx/1.10.3	80:正常访问
game.cmcm.com	49.51.230.234	80	nginx	80:正常访问
forum.cmcm.com	54.200.53.51	-	端口未开放	端口未开放
cn.cmcm.com	222.186.137.231,222.184.96.6,222.184.96.15,222.184.96.2,222.184.96.3,222.186.137.240,222.184.96.12,222.184.96.5,222.184.96.8,222.186.137.242	80,443	Tengine	80:正常访问
safe.cmcm.com	52.40.94.210,54.191.137.94	80,443	Tengine	80:正常访问
play.cmcm.com	114.112.93.21	-	端口未开放	端口未开放
oa.cmcm.com	10.60.80.21	-	端口未开放	端口未开放
bi.cmcm.com	118.89.34.125	80	kws	80:(403) 已禁止
conference.cmcm.com	114.242.208.138	80,443	获取失败	80:-
club.cmcm.com	107.23.250.200	80	Tengine	80:正常访问
console.cmcm.com	88.214.193.68	80,443	Apache	80:(404) 未找到
data.cmcm.com	222.184.96.14,222.184.96.5,222.186.137.230,222.184.96.10,222.186.137.239,222.184.96.8,222.184.96.7,222.186.137.242,222.184.96.2,222.184.96.4	80,443	kws	80:正常访问
device.cmcm.com	10.2.150.103	-	端口未开放	端口未开放
gm.cmcm.com	123.206.2.51	80,443	openresty	80:正常访问
games.cmcm.com	49.51.230.234	80	nginx	80:正常访问
images.cmcm.com	211.159.168.52	80	openresty	80:(403) 已禁止
lab.cmcm.com	123.206.189.145,203.195.147.186	80	DNSPod URL V2.0	80:(404) 未找到
ms.cmcm.com	34.209.30.126,34.211.174.174,34.211.87.225,54.69.135.78,54.69.1.66,54.68.25.129,54.69.219.53,34.213.118.203	443	openresty/1.13.6.1	443:(403) 已禁止
proxy.cmcm.com	114.242.208.139	80,443	获取失败	80:-
media.cmcm.com	120.92.32.250	-	端口未开放	端口未开放
mv.cmcm.com	52.52.60.182	-	端口未开放	端口未开放
rs.cmcm.com	34.204.154.182,35.175.96.147	80,443	nginx	80:(404) 未找到
qa.cmcm.com	10.60.82.66	-	端口未开放	端口未开放
scanner.cmcm.com	10.60.84.239	-	端口未开放	端口未开放
smtp.cmcm.com	114.242.208.156	-	端口未开放	端口未开放
3d.cmcm.com	114.112.93.8	-	端口未开放	端口未开放
tp.cmcm.com	13.33.172.4,13.33.172.70,13.33.172.134,13.33.172.49	80,443	AmazonS3	80:(403) 已禁止
weather.cmcm.com	140.143.118.211	80,443	openresty	80:正常访问
desk.cmcm.com	222.184.96.14,222.184.96.4,222.184.96.8,222.184.96.5,222.186.137.230,222.184.96.2,222.186.137.239,222.186.137.242,222.184.96.7,222.184.96.10	80,443	Tengine	80:正常访问
cloud.cmcm.com	52.85.158.223,52.85.158.165,52.85.158.181,52.85.158.61	80,443	获取失败	80:-
