域名	解析IP	开放端口	WEB服务器	网站状态
bbs.kingsoft.com	58.83.211.146	80,443	nginx	80:正常访问
sales.kingsoft.com	180.235.73.26	80,443	openresty/1.13.6.1	80:(403) 已禁止
kcclub.kingsoft.com	125.89.78.16	-	端口未开放	端口未开放
ksvpn.kingsoft.com	219.141.176.231	443		443:正常访问
shop.kingsoft.com	114.112.68.112	-	端口未开放	端口未开放
zh.fs.kingsoft.com	120.92.181.63	80	openresty/1.9.3.1	80:(404) 未找到
jx3gc.autoupdate.kingsoft.com	222.186.145.180	80,443	WS CDN Server	80:(404) 未找到
img.kingsoft.com	221.230.143.58,221.230.143.101	80,443	nginx	80:(403) 已禁止
www.kingsoft.com	58.221.28.167,58.221.28.168	80,443	nginx	80:正常访问
mail.kingsoft.com	219.141.176.240	-	端口未开放	端口未开放
admin.kingsoft.com	58.83.211.146	80,443	nginx	80:正常访问
video.kingsoft.com	218.30.82.225,218.30.82.226	-	端口未开放	端口未开放
sec.kingsoft.com	42.62.96.119	80	openresty	80:正常访问
pay.kingsoft.com	114.112.93.71	-	端口未开放	端口未开放
apollo.kingsoft.com	120.92.16.171	80,443	CLOUD ELB 1.0.0	80:正常访问
ns.kingsoft.com	121.14.11.123,218.30.82.31,121.14.11.120,115.182.195.27,125.39.62.236,125.39.62.237,180.235.73.249,125.89.75.203	-	端口未开放	端口未开放
ns1.kingsoft.com	125.39.62.237,121.14.11.123,218.30.82.31,121.14.11.120,125.39.62.236,125.89.75.203,115.182.195.27	-	端口未开放	端口未开放
ns2.kingsoft.com	125.89.75.203,121.14.11.123,125.39.62.237,121.14.11.120,218.30.82.31,222.73.9.119,125.39.62.236	-	端口未开放	端口未开放
ns4.kingsoft.com	218.30.82.19	-	端口未开放	端口未开放
job.kingsoft.com	58.83.211.146	80,443	nginx	80:正常访问
campus.kingsoft.com	58.83.211.146	80,443	nginx	80:正常访问
counter.kingsoft.com	117.48.124.122	80,443	CLOUD ELB 1.0.0	80:正常访问
dl6.kingsoft.com	218.30.82.125	-	端口未开放	端口未开放
dl10.kingsoft.com	61.55.138.54	-	端口未开放	端口未开放
dl2.kingsoft.com	222.73.9.73	-	端口未开放	端口未开放
testcdn.kingsoft.com	58.216.106.210,180.101.217.119,180.101.217.117,58.216.106.208,221.228.218.203	80,443	tencent-cos	80:(403) 已禁止
xd.kingsoft.com	219.232.254.202,219.232.254.201	-	端口未开放	端口未开放
zg.kingsoft.com	114.112.65.215	-	端口未开放	端口未开放
koa.kingsoft.com	114.255.44.198	-	端口未开放	端口未开放
dl21.kingsoft.com	61.129.59.122	-	端口未开放	端口未开放
