域名	解析IP	开放端口	WEB服务器	网站状态
docer.wps.cn	120.92.35.143	80,443	CLOUD ELB 1.0.0	80:(404) 未找到
app.wps.cn	120.92.77.14	80,443	CLOUD ELB 1.0.0	80:正常访问
docs.wps.cn	114.112.66.245	80,443	openresty/2.18.5.3	80:正常访问
form.wps.cn	183.146.25.2,183.146.25.1	80,443	Tengine	80:(403) 已禁止
kblog.wps.cn	114.112.66.58	80,443	openresty/1.11.2.2	80:正常访问
kstatus.wps.cn	114.112.66.58	80,443	openresty/1.11.2.2	80:正常访问
mo.wps.cn	120.132.90.14	80,443	KSOWS	80:正常访问
addons.wps.cn	114.112.66.167	80	Apache/2.4.6 (CentOS) SVN/1.7.14	80:(403) 已禁止
qing.wps.cn	114.112.66.248	80,443	openresty/2.18.5.3	80:正常访问
bbs.wps.cn	120.131.8.156	80	-	80:(404) 未找到
ep.wps.cn	114.112.66.157	80	nginx	80:正常访问
s.wps.cn	120.131.13.227	80,443	nginx/1.10.2	80:正常访问
e.wps.cn	114.112.66.182	-	端口未开放	端口未开放
docsvr.wps.cn	114.112.66.22	-	端口未开放	端口未开放
store.wps.cn	114.112.66.247	80,443	openresty/2.18.5.3	80:正常访问
tg.calendar.wps.cn	110.43.80.86,110.43.80.125	80,443	Tengine	80:正常访问
update.wps.cn	114.112.66.36,114.112.66.35	80,443	Apache-Coyote/1.1	80:(404) 未找到
vip.wps.cn	114.112.66.44	80,443	KSOWS	80:正常访问
wdl1.cache.wps.cn	122.246.6.116,122.228.251.113,122.246.3.203,122.246.3.111	80,443	KSOWS	80:(403) 已禁止
pt.wps.cn	114.112.66.239	-	端口未开放	端口未开放
wpp.template.wps.cn	114.112.66.157,114.112.66.156	80	KSOWS	80:正常访问
xiaoyuan.wps.cn	114.112.66.157	80	nginx	80:正常访问
mopro.wps.cn	114.112.66.157	80	nginx	80:正常访问
template.wps.cn	114.112.66.159	80	nginx	80:正常访问
wps.template.wps.cn	114.112.66.157,114.112.66.156	80	KSOWS	80:正常访问
zhidao.wps.cn	114.112.66.159	80	-	80:(404) 未找到
view.wps.cn	120.92.77.140	80	nginx/1.13.5	80:正常访问
office.wps.cn	120.92.85.235	80	KSOWS	80:正常访问
union.wps.cn	114.112.66.161	80	Apache-Coyote/1.1	80:正常访问
kad.www.wps.cn	180.97.249.78	80,443	KSOWS	80:(403) 已禁止
join.wps.cn	101.200.156.106	80,443	nginx/1.4.6 (Ubuntu)	80:正常访问
linux.wps.cn	120.132.71.20	80	KSOWS	80:正常访问
wenjuan.wps.cn	183.61.70.159	80	nginx/0.7.67	80:(403) 已禁止
i.wps.cn	114.112.66.249,114.112.66.248,114.112.66.246	80,443	openresty/2.18.5.3	80:正常访问
