域名	解析IP	开放端口	WEB服务器	网站状态
mobile.95516.com	202.96.255.146	80,443	Apache-Coyote/1.1	80:(500) 内部服务器错误
m.95516.com	202.96.255.146	80,443	Apache-Coyote/1.1	80:正常访问
shenka.95516.com	14.21.78.244	80,443	获取失败	80:-
62.95516.com	125.90.207.230,14.21.78.231	80,443	nginx/1.10.2	80:正常访问
wallet.95516.com	125.90.207.230,14.21.78.231	80,443	Cdn Cache Server V2.0	80:(403) 已禁止
data.95516.com	14.21.78.231,125.90.207.230	80,443	Cdn Cache Server V2.0	80:(502) 错误的网关
app.95516.com	125.90.207.230,14.21.78.231	80,443	wswaf/2.8.0-10.el6	80:正常访问
static.95516.com	125.90.207.230,14.21.78.231	80,443	wswaf/2.8.0-10.el6	80:正常访问
youhui.95516.com	125.90.207.230,14.21.78.231	80,443	Apache	80:正常访问
d.95516.com	202.96.255.187	80,443	Apache	80:正常访问
csair.95516.com	121.8.142.134	80	nginx/1.14.0	80:(403) 已禁止
travel.95516.com	115.159.76.121	-	端口未开放	端口未开放
mall.95516.com	125.90.207.230,14.21.78.231	80,443	BigIP	80:(403) 已禁止
a.95516.com	125.90.207.230,14.21.78.231	80,443	获取失败	80:-
content.95516.com	14.21.78.231,125.90.207.230	80,443	Cdn Cache Server V2.0	80:(503) 服务器不可用
t.95516.com	14.21.78.231,125.90.207.230	80,443	获取失败	80:-
user.95516.com	125.90.207.230,14.21.78.231	80,443	获取失败	80:-
ad.95516.com	14.21.78.231,125.90.207.230	80,443	-	80:(503) 服务器不可用
portal.95516.com	222.84.188.125,171.107.190.13	80,443	UPJAS	80:正常访问
monitor.95516.com	14.21.78.231,125.90.207.230	80,443	Cdn Cache Server V2.0	80:(502) 错误的网关
ac.95516.com	125.90.207.230,14.21.78.231	80,443	Cdn Cache Server V2.0	80:(502) 错误的网关
ap.95516.com	14.21.78.231,125.90.207.230	80,443	-	80:(503) 服务器不可用
test.95516.com	140.207.83.88	-	端口未开放	端口未开放
open.95516.com	14.21.78.231,125.90.207.230	80,443	获取失败	80:-
chat.95516.com	125.90.207.230,14.21.78.231	80,443	UPJAS	80:正常访问
conf.95516.com	125.90.207.230,14.21.78.231	80,443	Cdn Cache Server V2.0	80:(403) 已禁止
education.95516.com	125.90.207.230,14.21.78.231	80,443	Cdn Cache Server V2.0	80:(502) 错误的网关
pay.95516.com	125.90.207.230,14.21.78.231	80,443	获取失败	80:-
auth.95516.com	125.90.207.230,14.21.78.231	80,443	获取失败	80:-
marketing.95516.com	14.21.78.231,125.90.207.230	80,443	Apache	80:正常访问
partner.95516.com	14.21.78.231,125.90.207.230	80,443	nginx	80:正常访问
device.95516.com	14.21.78.231,125.90.207.230	80,443	获取失败	80:-
gateway.95516.com	125.90.207.230,14.21.78.231	80,443	获取失败	80:-
remote.95516.com	101.231.39.91	443	Apache	443:(403) 已禁止
up.95516.com	14.21.78.231,125.90.207.230	80,443	Cdn Cache Server V2.0	80:(502) 错误的网关
market.95516.com	125.90.207.230,14.21.78.231	80,443	Cdn Cache Server V2.0	80:(502) 错误的网关
term.95516.com	14.21.78.231,125.90.207.230	80,443	Apache	80:(403) 已禁止
keep.95516.com	202.101.33.1	443	获取失败	443:-
sftp.95516.com	222.66.82.83	-	端口未开放	端口未开放
health.95516.com	202.101.33.40	443	Apache	443:(403) 已禁止
merchant.95516.com	14.21.78.231,125.90.207.230	80,443	Apache	80:正常访问
cap.95516.com	14.21.78.231,125.90.207.230	80,443	Cdn Cache Server V2.0	80:(502) 错误的网关
fun.95516.com	49.51.8.209,119.28.48.239	80	DNSPod URL V2.0	80:(404) 未找到
benefits.95516.com	125.90.207.230,14.21.78.231	80,443	UPJAS	80:正常访问
survey.95516.com	202.101.33.47	80	-	80:(503) 服务器不可用
campus.95516.com	125.90.207.230,14.21.78.231	80,443	Cdn Cache Server V2.0	80:(502) 错误的网关
2018.95516.com	125.90.207.230,14.21.78.231	80,443	-	80:(503) 服务器不可用
verify.95516.com	121.15.128.27	-	端口未开放	端口未开放
c2c.95516.com	101.231.39.90	443	Apache	443:(403) 已禁止
analytics.95516.com	125.90.207.230,14.21.78.231	80,443	获取失败	80:-
batch.95516.com	125.90.207.230,14.21.78.231	80,443	获取失败	80:-
gateway2.95516.com	14.21.78.231,125.90.207.230	80,443	获取失败	80:-
robot.95516.com	14.21.78.231,125.90.207.230	80,443	UPJAS	80:(404) 未找到
shanghu.95516.com	14.21.78.231,125.90.207.230	80,443	Cdn Cache Server V2.0	80:(503) 服务器不可用
query.95516.com	125.90.207.230,14.21.78.231	80,443	获取失败	80:-
hd.95516.com	125.90.207.230,14.21.78.231	80,443	nginx/1.10.1	80:正常访问
wx.95516.com	14.21.78.231,125.90.207.230	80,443	UPJAS	80:正常访问
zj.95516.com	222.84.188.125,119.147.104.151	80,443	nginx	80:(503) 服务器不可用
qr.95516.com	14.21.78.231,125.90.207.230	80,443	UPJAS/3	80:(403) 已禁止
tpay.95516.com	14.21.78.231,125.90.207.230	80,443	获取失败	80:-
hce.95516.com	101.231.39.93	443	获取失败	443:-
hyx.95516.com	61.129.96.141	443	Apache	443:(403) 已禁止
ctq.95516.com	14.21.78.231,125.90.207.230	80,443	获取失败	80:-
msp.95516.com	101.231.114.220	80,443	nginx/1.10.2	80:正常访问
nmg.95516.com	202.101.33.27	80,443	UPJAS	80:正常访问
qra.95516.com	125.90.207.230,14.21.78.231	80,443	Cdn Cache Server V2.0	80:(502) 错误的网关
tdc.95516.com	101.231.114.252	80,443	获取失败	80:-
tsm.95516.com	14.21.78.231,125.90.207.230	80,443	Apache	80:(403) 已禁止
623.95516.com	125.90.207.230,14.21.78.231	80,443	-	80:(503) 服务器不可用
