('阜阳市卫生健康委员会', '信息泄露漏洞', '中危')
('萧山网', '命令执行漏洞', '高危')
('深圳市京华电子股份有限公司', 'SQL注入漏洞', '中危')
('河南达源物流设备有限公司', 'SQL注入漏洞', '高危')
('法兰琳卡(FRANIC)官方网站', 'SQL注入漏洞', '中危')
('法兰琳卡(FRANIC)官方网站', 'SQL注入漏洞', '中危')
('北京福田戴姆勒汽车', '命令执行漏洞', '高危')
('湖南省郴州市苏仙区人民政府', '命令执行漏洞', '高危')
('滑县信用网', '弱口令漏洞', '中危')
('中国化工集团', 'SQL注入漏洞', '中危')
('曲靖长安网', '弱口令漏洞', '中危')
('东莞理工学院', '信息泄露漏洞', '中危')
('东莞市三方人才咨询有限公司', 'SQL注入漏洞', '中危')
('万联证券', '任意文件操作漏洞', '中危')
('成都石室天府中学', 'SQL注入漏洞', '中危')
('珠江啤酒官网', '信息泄露漏洞', '低危')
('山东彩票网', '信息泄露漏洞', '低危')
('江西省公安厅', '弱口令漏洞', '中危')
('北京江西企业商会', '信息泄露漏洞', '低危')
('广东安居宝数码科技股份有限公司', '弱口令漏洞', '中危')
('重庆市科学技术研究院', '命令执行漏洞', '高危')
('河北地质大学', '任意文件操作漏洞', '中危')
('深圳爱尔创科技有限公司', '弱口令漏洞', '中危')
('利亚德光电股份有限公司', '弱口令漏洞', '低危')
('沧州市第一中学', 'SQL注入漏洞', '中危')
('茂名市展翅科技有限公司', '弱口令漏洞', '中危')
('艺凯旋画廊', '弱口令漏洞', '低危')
('安徽省高级人民法院', '信息泄露漏洞', '中危')
('挑卡网', 'SQL注入漏洞', '中危')
('问政永州_永州市网民问政平台_永州新闻网', '文件上传漏洞', '高危')
('成都石室天府中学', 'SQL注入漏洞', '中危')
('幼儿园教案网', 'SQL注入漏洞', '中危')
('长春人才网', 'SQL注入漏洞', '中危')
('迁安市安全生产监督管理局', 'SQL注入漏洞', '中危')
('包头轻工职业技术学院', '逻辑漏洞', '中危')
('重庆宗申摩托车销售有限公司', '逻辑漏洞', '低危')
('西安莲湖纪检监察网', 'SQL注入漏洞', '低危')
('南京航空航天大学', '任意文件操作漏洞', '中危')
('深圳市惠尔顿信息技术有限公司', 'SQL注入漏洞', '中危')
('中共宝鸡市渭滨区委员会宣传部', '疑似被黑漏洞', '低危')
('站西鞋城网', 'SQL注入漏洞', '中危')
('无锡旅游商贸高等职业学校', '任意文件操作漏洞', '中危')
('南京航空航天大学', 'SQL注入漏洞', '中危')
('华润万东医疗装备股份有限公司', 'SQL注入漏洞', '中危')
('上海隧道工程公司', '弱口令漏洞', '低危')
